municipio,trimestre,Ocupação no trabalho,quantidade de ocupação no trabalho
Acre,1º trimestre 2024,Indústria de transformação,20.0
Acre,1º trimestre 2024,Construção,19.0
Acre,1º trimestre 2024,"Comércio, reparação de veículos automotores e motocicletas",59.0
Acre,1º trimestre 2024,"Transporte, armazenagem e correio",11.0
Acre,1º trimestre 2024,Alojamento e alimentação,18.0
Acre,1º trimestre 2024,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",36.0
Acre,1º trimestre 2024,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",78.0
Acre,1º trimestre 2024,Outros serviços,13.0
Acre,1º trimestre 2024,Serviços domésticos,19.0
Acre,1º trimestre 2024,Atividades mal definidas,0.0
Acre,2º trimestre 2024,"Agricultura, pecuária, produção florestal, pesca e aquicultura",43.0
Acre,2º trimestre 2024,Indústria geral,26.0
Acre,2º trimestre 2024,Indústria de transformação,22.0
Acre,2º trimestre 2024,Construção,21.0
Acre,2º trimestre 2024,"Comércio, reparação de veículos automotores e motocicletas",59.0
Acre,2º trimestre 2024,"Transporte, armazenagem e correio",11.0
Acre,2º trimestre 2024,Alojamento e alimentação,14.0
Acre,2º trimestre 2024,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",37.0
Acre,2º trimestre 2024,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",84.0
Acre,2º trimestre 2024,Outros serviços,14.0
Acre,2º trimestre 2024,Serviços domésticos,21.0
Acre,2º trimestre 2024,Atividades mal definidas,0.0
Acre,3º trimestre 2024,"Agricultura, pecuária, produção florestal, pesca e aquicultura",39.0
Acre,3º trimestre 2024,Indústria geral,29.0
Acre,3º trimestre 2024,Indústria de transformação,25.0
Acre,3º trimestre 2024,Construção,23.0
Acre,3º trimestre 2024,"Comércio, reparação de veículos automotores e motocicletas",64.0
Acre,3º trimestre 2024,"Transporte, armazenagem e correio",13.0
Acre,3º trimestre 2024,Alojamento e alimentação,15.0
Acre,3º trimestre 2024,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",37.0
Acre,3º trimestre 2024,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",81.0
Acre,3º trimestre 2024,Outros serviços,15.0
Acre,3º trimestre 2024,Serviços domésticos,23.0
Acre,3º trimestre 2024,Atividades mal definidas,0.0
Acre,4º trimestre 2024,"Agricultura, pecuária, produção florestal, pesca e aquicultura",39.0
Acre,4º trimestre 2024,Indústria geral,27.0
Acre,4º trimestre 2024,Indústria de transformação,23.0
Acre,4º trimestre 2024,Construção,20.0
Acre,4º trimestre 2024,"Comércio, reparação de veículos automotores e motocicletas",67.0
Acre,4º trimestre 2024,"Transporte, armazenagem e correio",10.0
Acre,4º trimestre 2024,Alojamento e alimentação,17.0
Acre,4º trimestre 2024,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",38.0
Acre,4º trimestre 2024,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",84.0
Acre,4º trimestre 2024,Outros serviços,14.0
Acre,4º trimestre 2024,Serviços domésticos,24.0
Acre,4º trimestre 2024,Atividades mal definidas,0.0
Amazonas,1º trimestre 2012,"Agricultura, pecuária, produção florestal, pesca e aquicultura",250.0
Amazonas,1º trimestre 2012,Indústria geral,205.0
Amazonas,1º trimestre 2012,Indústria de transformação,183.0
Amazonas,1º trimestre 2012,Construção,104.0
Amazonas,1º trimestre 2012,"Comércio, reparação de veículos automotores e motocicletas",243.0
Amazonas,1º trimestre 2012,"Transporte, armazenagem e correio",78.0
Amazonas,1º trimestre 2012,Alojamento e alimentação,67.0
Amazonas,1º trimestre 2012,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",87.0
Amazonas,1º trimestre 2012,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",229.0
Amazonas,1º trimestre 2012,Outros serviços,50.0
Amazonas,1º trimestre 2012,Serviços domésticos,72.0
Amazonas,1º trimestre 2012,Atividades mal definidas,0.0
Amazonas,2º trimestre 2012,"Agricultura, pecuária, produção florestal, pesca e aquicultura",273.0
Amazonas,2º trimestre 2012,Indústria geral,195.0
Amazonas,2º trimestre 2012,Indústria de transformação,171.0
Amazonas,2º trimestre 2012,Construção,101.0
Amazonas,2º trimestre 2012,"Comércio, reparação de veículos automotores e motocicletas",244.0
Amazonas,2º trimestre 2012,"Transporte, armazenagem e correio",81.0
Amazonas,2º trimestre 2012,Alojamento e alimentação,64.0
Amazonas,2º trimestre 2012,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",93.0
Amazonas,2º trimestre 2012,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",249.0
Amazonas,2º trimestre 2012,Outros serviços,50.0
Amazonas,2º trimestre 2012,Serviços domésticos,65.0
Amazonas,2º trimestre 2012,Atividades mal definidas,0.0
Amazonas,3º trimestre 2012,"Agricultura, pecuária, produção florestal, pesca e aquicultura",279.0
Amazonas,3º trimestre 2012,Indústria geral,188.0
Amazonas,3º trimestre 2012,Indústria de transformação,167.0
Amazonas,3º trimestre 2012,Construção,106.0
Amazonas,3º trimestre 2012,"Comércio, reparação de veículos automotores e motocicletas",247.0
Amazonas,3º trimestre 2012,"Transporte, armazenagem e correio",82.0
Amazonas,3º trimestre 2012,Alojamento e alimentação,60.0
Amazonas,3º trimestre 2012,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",92.0
Amazonas,3º trimestre 2012,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",244.0
Amazonas,3º trimestre 2012,Outros serviços,54.0
Amazonas,3º trimestre 2012,Serviços domésticos,69.0
Amazonas,3º trimestre 2012,Atividades mal definidas,0.0
Amazonas,4º trimestre 2012,"Agricultura, pecuária, produção florestal, pesca e aquicultura",300.0
Amazonas,4º trimestre 2012,Indústria geral,190.0
Amazonas,4º trimestre 2012,Indústria de transformação,173.0
Amazonas,4º trimestre 2012,Construção,112.0
Amazonas,4º trimestre 2012,"Comércio, reparação de veículos automotores e motocicletas",251.0
Amazonas,4º trimestre 2012,"Transporte, armazenagem e correio",87.0
Amazonas,4º trimestre 2012,Alojamento e alimentação,69.0
Amazonas,4º trimestre 2012,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",91.0
Amazonas,4º trimestre 2012,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",250.0
Amazonas,4º trimestre 2012,Outros serviços,53.0
Amazonas,4º trimestre 2012,Serviços domésticos,68.0
Amazonas,4º trimestre 2012,Atividades mal definidas,0.0
Amazonas,1º trimestre 2013,"Agricultura, pecuária, produção florestal, pesca e aquicultura",292.0
Amazonas,1º trimestre 2013,Indústria geral,180.0
Amazonas,1º trimestre 2013,Indústria de transformação,162.0
Amazonas,1º trimestre 2013,Construção,109.0
Amazonas,1º trimestre 2013,"Comércio, reparação de veículos automotores e motocicletas",260.0
Amazonas,1º trimestre 2013,"Transporte, armazenagem e correio",85.0
Amazonas,1º trimestre 2013,Alojamento e alimentação,70.0
Amazonas,1º trimestre 2013,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",89.0
Amazonas,1º trimestre 2013,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",250.0
Amazonas,1º trimestre 2013,Outros serviços,50.0
Amazonas,1º trimestre 2013,Serviços domésticos,68.0
Amazonas,1º trimestre 2013,Atividades mal definidas,0.0
Amazonas,2º trimestre 2013,"Agricultura, pecuária, produção florestal, pesca e aquicultura",268.0
Amazonas,2º trimestre 2013,Indústria geral,196.0
Amazonas,2º trimestre 2013,Indústria de transformação,179.0
Amazonas,2º trimestre 2013,Construção,108.0
Amazonas,2º trimestre 2013,"Comércio, reparação de veículos automotores e motocicletas",262.0
Amazonas,2º trimestre 2013,"Transporte, armazenagem e correio",82.0
Amazonas,2º trimestre 2013,Alojamento e alimentação,64.0
Amazonas,2º trimestre 2013,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",93.0
Amazonas,2º trimestre 2013,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",270.0
Amazonas,2º trimestre 2013,Outros serviços,60.0
Amazonas,2º trimestre 2013,Serviços domésticos,62.0
Amazonas,2º trimestre 2013,Atividades mal definidas,0.0
Amazonas,3º trimestre 2013,"Agricultura, pecuária, produção florestal, pesca e aquicultura",257.0
Amazonas,3º trimestre 2013,Indústria geral,196.0
Amazonas,3º trimestre 2013,Indústria de transformação,174.0
Amazonas,3º trimestre 2013,Construção,109.0
Amazonas,3º trimestre 2013,"Comércio, reparação de veículos automotores e motocicletas",274.0
Amazonas,3º trimestre 2013,"Transporte, armazenagem e correio",82.0
Amazonas,3º trimestre 2013,Alojamento e alimentação,68.0
Amazonas,3º trimestre 2013,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",90.0
Amazonas,3º trimestre 2013,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",268.0
Amazonas,3º trimestre 2013,Outros serviços,55.0
Amazonas,3º trimestre 2013,Serviços domésticos,72.0
Amazonas,3º trimestre 2013,Atividades mal definidas,0.0
Amazonas,4º trimestre 2013,"Agricultura, pecuária, produção florestal, pesca e aquicultura",270.0
Amazonas,4º trimestre 2013,Indústria geral,202.0
Amazonas,4º trimestre 2013,Indústria de transformação,181.0
Amazonas,4º trimestre 2013,Construção,121.0
Amazonas,4º trimestre 2013,"Comércio, reparação de veículos automotores e motocicletas",275.0
Amazonas,4º trimestre 2013,"Transporte, armazenagem e correio",76.0
Amazonas,4º trimestre 2013,Alojamento e alimentação,75.0
Amazonas,4º trimestre 2013,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",99.0
Amazonas,4º trimestre 2013,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",269.0
Amazonas,4º trimestre 2013,Outros serviços,62.0
Amazonas,4º trimestre 2013,Serviços domésticos,59.0
Amazonas,4º trimestre 2013,Atividades mal definidas,0.0
Amazonas,1º trimestre 2014,"Agricultura, pecuária, produção florestal, pesca e aquicultura",261.0
Amazonas,1º trimestre 2014,Indústria geral,195.0
Amazonas,1º trimestre 2014,Indústria de transformação,176.0
Amazonas,1º trimestre 2014,Construção,116.0
Amazonas,1º trimestre 2014,"Comércio, reparação de veículos automotores e motocicletas",257.0
Amazonas,1º trimestre 2014,"Transporte, armazenagem e correio",73.0
Amazonas,1º trimestre 2014,Alojamento e alimentação,73.0
Amazonas,1º trimestre 2014,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",95.0
Amazonas,1º trimestre 2014,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",259.0
Amazonas,1º trimestre 2014,Outros serviços,56.0
Amazonas,1º trimestre 2014,Serviços domésticos,66.0
Amazonas,1º trimestre 2014,Atividades mal definidas,1.0
Amazonas,2º trimestre 2014,"Agricultura, pecuária, produção florestal, pesca e aquicultura",254.0
Amazonas,2º trimestre 2014,Indústria geral,210.0
Amazonas,2º trimestre 2014,Indústria de transformação,188.0
Amazonas,2º trimestre 2014,Construção,116.0
Amazonas,2º trimestre 2014,"Comércio, reparação de veículos automotores e motocicletas",255.0
Amazonas,2º trimestre 2014,"Transporte, armazenagem e correio",84.0
Amazonas,2º trimestre 2014,Alojamento e alimentação,77.0
Amazonas,2º trimestre 2014,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",79.0
Amazonas,2º trimestre 2014,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",274.0
Amazonas,2º trimestre 2014,Outros serviços,64.0
Amazonas,2º trimestre 2014,Serviços domésticos,73.0
Amazonas,2º trimestre 2014,Atividades mal definidas,1.0
Amazonas,3º trimestre 2014,"Agricultura, pecuária, produção florestal, pesca e aquicultura",280.0
Amazonas,3º trimestre 2014,Indústria geral,213.0
Amazonas,3º trimestre 2014,Indústria de transformação,192.0
Amazonas,3º trimestre 2014,Construção,126.0
Amazonas,3º trimestre 2014,"Comércio, reparação de veículos automotores e motocicletas",256.0
Amazonas,3º trimestre 2014,"Transporte, armazenagem e correio",85.0
Amazonas,3º trimestre 2014,Alojamento e alimentação,81.0
Amazonas,3º trimestre 2014,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",105.0
Amazonas,3º trimestre 2014,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",256.0
Amazonas,3º trimestre 2014,Outros serviços,64.0
Amazonas,3º trimestre 2014,Serviços domésticos,65.0
Amazonas,3º trimestre 2014,Atividades mal definidas,0.0
Amazonas,4º trimestre 2014,"Agricultura, pecuária, produção florestal, pesca e aquicultura",261.0
Amazonas,4º trimestre 2014,Indústria geral,203.0
Amazonas,4º trimestre 2014,Indústria de transformação,187.0
Amazonas,4º trimestre 2014,Construção,117.0
Amazonas,4º trimestre 2014,"Comércio, reparação de veículos automotores e motocicletas",261.0
Amazonas,4º trimestre 2014,"Transporte, armazenagem e correio",83.0
Amazonas,4º trimestre 2014,Alojamento e alimentação,84.0
Amazonas,4º trimestre 2014,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",100.0
Amazonas,4º trimestre 2014,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",260.0
Amazonas,4º trimestre 2014,Outros serviços,59.0
Amazonas,4º trimestre 2014,Serviços domésticos,66.0
Amazonas,4º trimestre 2014,Atividades mal definidas,0.0
Amazonas,1º trimestre 2015,"Agricultura, pecuária, produção florestal, pesca e aquicultura",279.0
Amazonas,1º trimestre 2015,Indústria geral,198.0
Amazonas,1º trimestre 2015,Indústria de transformação,177.0
Amazonas,1º trimestre 2015,Construção,116.0
Amazonas,1º trimestre 2015,"Comércio, reparação de veículos automotores e motocicletas",257.0
Amazonas,1º trimestre 2015,"Transporte, armazenagem e correio",78.0
Amazonas,1º trimestre 2015,Alojamento e alimentação,79.0
Amazonas,1º trimestre 2015,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",97.0
Amazonas,1º trimestre 2015,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",263.0
Amazonas,1º trimestre 2015,Outros serviços,56.0
Amazonas,1º trimestre 2015,Serviços domésticos,61.0
Amazonas,1º trimestre 2015,Atividades mal definidas,0.0
Amazonas,2º trimestre 2015,"Agricultura, pecuária, produção florestal, pesca e aquicultura",292.0
Amazonas,2º trimestre 2015,Indústria geral,182.0
Amazonas,2º trimestre 2015,Indústria de transformação,165.0
Amazonas,2º trimestre 2015,Construção,112.0
Amazonas,2º trimestre 2015,"Comércio, reparação de veículos automotores e motocicletas",264.0
Amazonas,2º trimestre 2015,"Transporte, armazenagem e correio",84.0
Amazonas,2º trimestre 2015,Alojamento e alimentação,77.0
Amazonas,2º trimestre 2015,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",93.0
Amazonas,2º trimestre 2015,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",270.0
Amazonas,2º trimestre 2015,Outros serviços,51.0
Amazonas,2º trimestre 2015,Serviços domésticos,67.0
Amazonas,2º trimestre 2015,Atividades mal definidas,0.0
Amazonas,3º trimestre 2015,"Agricultura, pecuária, produção florestal, pesca e aquicultura",292.0
Amazonas,3º trimestre 2015,Indústria geral,182.0
Amazonas,3º trimestre 2015,Indústria de transformação,164.0
Amazonas,3º trimestre 2015,Construção,114.0
Amazonas,3º trimestre 2015,"Comércio, reparação de veículos automotores e motocicletas",270.0
Amazonas,3º trimestre 2015,"Transporte, armazenagem e correio",84.0
Amazonas,3º trimestre 2015,Alojamento e alimentação,91.0
Amazonas,3º trimestre 2015,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",93.0
Amazonas,3º trimestre 2015,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",268.0
Amazonas,3º trimestre 2015,Outros serviços,50.0
Amazonas,3º trimestre 2015,Serviços domésticos,67.0
Amazonas,3º trimestre 2015,Atividades mal definidas,0.0
Amazonas,4º trimestre 2015,"Agricultura, pecuária, produção florestal, pesca e aquicultura",292.0
Amazonas,4º trimestre 2015,Indústria geral,179.0
Amazonas,4º trimestre 2015,Indústria de transformação,161.0
Amazonas,4º trimestre 2015,Construção,114.0
Amazonas,4º trimestre 2015,"Comércio, reparação de veículos automotores e motocicletas",283.0
Amazonas,4º trimestre 2015,"Transporte, armazenagem e correio",88.0
Amazonas,4º trimestre 2015,Alojamento e alimentação,70.0
Amazonas,4º trimestre 2015,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",77.0
Amazonas,4º trimestre 2015,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",284.0
Amazonas,4º trimestre 2015,Outros serviços,54.0
Amazonas,4º trimestre 2015,Serviços domésticos,63.0
Amazonas,4º trimestre 2015,Atividades mal definidas,0.0
Amazonas,1º trimestre 2016,"Agricultura, pecuária, produção florestal, pesca e aquicultura",306.0
Amazonas,1º trimestre 2016,Indústria geral,158.0
Amazonas,1º trimestre 2016,Indústria de transformação,144.0
Amazonas,1º trimestre 2016,Construção,116.0
Amazonas,1º trimestre 2016,"Comércio, reparação de veículos automotores e motocicletas",280.0
Amazonas,1º trimestre 2016,"Transporte, armazenagem e correio",80.0
Amazonas,1º trimestre 2016,Alojamento e alimentação,69.0
Amazonas,1º trimestre 2016,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",76.0
Amazonas,1º trimestre 2016,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",272.0
Amazonas,1º trimestre 2016,Outros serviços,62.0
Amazonas,1º trimestre 2016,Serviços domésticos,70.0
Amazonas,1º trimestre 2016,Atividades mal definidas,0.0
Amazonas,2º trimestre 2016,"Agricultura, pecuária, produção florestal, pesca e aquicultura",309.0
Amazonas,2º trimestre 2016,Indústria geral,161.0
Amazonas,2º trimestre 2016,Indústria de transformação,145.0
Amazonas,2º trimestre 2016,Construção,103.0
Amazonas,2º trimestre 2016,"Comércio, reparação de veículos automotores e motocicletas",301.0
Amazonas,2º trimestre 2016,"Transporte, armazenagem e correio",85.0
Amazonas,2º trimestre 2016,Alojamento e alimentação,87.0
Amazonas,2º trimestre 2016,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",84.0
Amazonas,2º trimestre 2016,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",278.0
Amazonas,2º trimestre 2016,Outros serviços,52.0
Amazonas,2º trimestre 2016,Serviços domésticos,67.0
Amazonas,2º trimestre 2016,Atividades mal definidas,0.0
Amazonas,3º trimestre 2016,"Agricultura, pecuária, produção florestal, pesca e aquicultura",294.0
Amazonas,3º trimestre 2016,Indústria geral,169.0
Amazonas,3º trimestre 2016,Indústria de transformação,149.0
Amazonas,3º trimestre 2016,Construção,94.0
Amazonas,3º trimestre 2016,"Comércio, reparação de veículos automotores e motocicletas",299.0
Amazonas,3º trimestre 2016,"Transporte, armazenagem e correio",83.0
Amazonas,3º trimestre 2016,Alojamento e alimentação,81.0
Amazonas,3º trimestre 2016,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",83.0
Amazonas,3º trimestre 2016,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",271.0
Amazonas,3º trimestre 2016,Outros serviços,51.0
Amazonas,3º trimestre 2016,Serviços domésticos,72.0
Amazonas,3º trimestre 2016,Atividades mal definidas,0.0
Amazonas,4º trimestre 2016,"Agricultura, pecuária, produção florestal, pesca e aquicultura",300.0
Amazonas,4º trimestre 2016,Indústria geral,167.0
Amazonas,4º trimestre 2016,Indústria de transformação,150.0
Amazonas,4º trimestre 2016,Construção,93.0
Amazonas,4º trimestre 2016,"Comércio, reparação de veículos automotores e motocicletas",280.0
Amazonas,4º trimestre 2016,"Transporte, armazenagem e correio",82.0
Amazonas,4º trimestre 2016,Alojamento e alimentação,69.0
Amazonas,4º trimestre 2016,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",81.0
Amazonas,4º trimestre 2016,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",263.0
Amazonas,4º trimestre 2016,Outros serviços,65.0
Amazonas,4º trimestre 2016,Serviços domésticos,62.0
Amazonas,4º trimestre 2016,Atividades mal definidas,0.0
Amazonas,1º trimestre 2017,"Agricultura, pecuária, produção florestal, pesca e aquicultura",313.0
Amazonas,1º trimestre 2017,Indústria geral,169.0
Amazonas,1º trimestre 2017,Indústria de transformação,149.0
Amazonas,1º trimestre 2017,Construção,85.0
Amazonas,1º trimestre 2017,"Comércio, reparação de veículos automotores e motocicletas",291.0
Amazonas,1º trimestre 2017,"Transporte, armazenagem e correio",81.0
Amazonas,1º trimestre 2017,Alojamento e alimentação,70.0
Amazonas,1º trimestre 2017,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",90.0
Amazonas,1º trimestre 2017,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",247.0
Amazonas,1º trimestre 2017,Outros serviços,54.0
Amazonas,1º trimestre 2017,Serviços domésticos,69.0
Amazonas,1º trimestre 2017,Atividades mal definidas,0.0
Amazonas,2º trimestre 2017,"Agricultura, pecuária, produção florestal, pesca e aquicultura",291.0
Amazonas,2º trimestre 2017,Indústria geral,161.0
Amazonas,2º trimestre 2017,Indústria de transformação,141.0
Amazonas,2º trimestre 2017,Construção,85.0
Amazonas,2º trimestre 2017,"Comércio, reparação de veículos automotores e motocicletas",289.0
Amazonas,2º trimestre 2017,"Transporte, armazenagem e correio",92.0
Amazonas,2º trimestre 2017,Alojamento e alimentação,78.0
Amazonas,2º trimestre 2017,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",93.0
Amazonas,2º trimestre 2017,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",289.0
Amazonas,2º trimestre 2017,Outros serviços,61.0
Amazonas,2º trimestre 2017,Serviços domésticos,73.0
Amazonas,2º trimestre 2017,Atividades mal definidas,0.0
Amazonas,3º trimestre 2017,"Agricultura, pecuária, produção florestal, pesca e aquicultura",281.0
Amazonas,3º trimestre 2017,Indústria geral,166.0
Amazonas,3º trimestre 2017,Indústria de transformação,144.0
Amazonas,3º trimestre 2017,Construção,79.0
Amazonas,3º trimestre 2017,"Comércio, reparação de veículos automotores e motocicletas",271.0
Amazonas,3º trimestre 2017,"Transporte, armazenagem e correio",80.0
Amazonas,3º trimestre 2017,Alojamento e alimentação,83.0
Amazonas,3º trimestre 2017,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",101.0
Amazonas,3º trimestre 2017,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",287.0
Amazonas,3º trimestre 2017,Outros serviços,57.0
Amazonas,3º trimestre 2017,Serviços domésticos,63.0
Amazonas,3º trimestre 2017,Atividades mal definidas,0.0
Amazonas,4º trimestre 2017,"Agricultura, pecuária, produção florestal, pesca e aquicultura",276.0
Amazonas,4º trimestre 2017,Indústria geral,169.0
Amazonas,4º trimestre 2017,Indústria de transformação,147.0
Amazonas,4º trimestre 2017,Construção,89.0
Amazonas,4º trimestre 2017,"Comércio, reparação de veículos automotores e motocicletas",287.0
Amazonas,4º trimestre 2017,"Transporte, armazenagem e correio",74.0
Amazonas,4º trimestre 2017,Alojamento e alimentação,101.0
Amazonas,4º trimestre 2017,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",103.0
Amazonas,4º trimestre 2017,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",295.0
Amazonas,4º trimestre 2017,Outros serviços,59.0
Amazonas,4º trimestre 2017,Serviços domésticos,60.0
Amazonas,4º trimestre 2017,Atividades mal definidas,1.0
Amazonas,1º trimestre 2018,"Agricultura, pecuária, produção florestal, pesca e aquicultura",280.0
Amazonas,1º trimestre 2018,Indústria geral,181.0
Amazonas,1º trimestre 2018,Indústria de transformação,158.0
Amazonas,1º trimestre 2018,Construção,83.0
Amazonas,1º trimestre 2018,"Comércio, reparação de veículos automotores e motocicletas",299.0
Amazonas,1º trimestre 2018,"Transporte, armazenagem e correio",77.0
Amazonas,1º trimestre 2018,Alojamento e alimentação,105.0
Amazonas,1º trimestre 2018,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",106.0
Amazonas,1º trimestre 2018,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",284.0
Amazonas,1º trimestre 2018,Outros serviços,58.0
Amazonas,1º trimestre 2018,Serviços domésticos,69.0
Amazonas,1º trimestre 2018,Atividades mal definidas,1.0
Amazonas,2º trimestre 2018,"Agricultura, pecuária, produção florestal, pesca e aquicultura",256.0
Amazonas,2º trimestre 2018,Indústria geral,174.0
Amazonas,2º trimestre 2018,Indústria de transformação,157.0
Amazonas,2º trimestre 2018,Construção,85.0
Amazonas,2º trimestre 2018,"Comércio, reparação de veículos automotores e motocicletas",310.0
Amazonas,2º trimestre 2018,"Transporte, armazenagem e correio",95.0
Amazonas,2º trimestre 2018,Alojamento e alimentação,96.0
Amazonas,2º trimestre 2018,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",98.0
Amazonas,2º trimestre 2018,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",285.0
Amazonas,2º trimestre 2018,Outros serviços,49.0
Amazonas,2º trimestre 2018,Serviços domésticos,70.0
Amazonas,2º trimestre 2018,Atividades mal definidas,0.0
Amazonas,3º trimestre 2018,"Agricultura, pecuária, produção florestal, pesca e aquicultura",278.0
Amazonas,3º trimestre 2018,Indústria geral,180.0
Amazonas,3º trimestre 2018,Indústria de transformação,160.0
Amazonas,3º trimestre 2018,Construção,76.0
Amazonas,3º trimestre 2018,"Comércio, reparação de veículos automotores e motocicletas",283.0
Amazonas,3º trimestre 2018,"Transporte, armazenagem e correio",89.0
Amazonas,3º trimestre 2018,Alojamento e alimentação,105.0
Amazonas,3º trimestre 2018,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",122.0
Amazonas,3º trimestre 2018,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",302.0
Amazonas,3º trimestre 2018,Outros serviços,65.0
Amazonas,3º trimestre 2018,Serviços domésticos,73.0
Amazonas,3º trimestre 2018,Atividades mal definidas,0.0
Amazonas,4º trimestre 2018,"Agricultura, pecuária, produção florestal, pesca e aquicultura",280.0
Amazonas,4º trimestre 2018,Indústria geral,179.0
Amazonas,4º trimestre 2018,Indústria de transformação,160.0
Amazonas,4º trimestre 2018,Construção,94.0
Amazonas,4º trimestre 2018,"Comércio, reparação de veículos automotores e motocicletas",273.0
Amazonas,4º trimestre 2018,"Transporte, armazenagem e correio",92.0
Amazonas,4º trimestre 2018,Alojamento e alimentação,102.0
Amazonas,4º trimestre 2018,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",111.0
Amazonas,4º trimestre 2018,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",293.0
Amazonas,4º trimestre 2018,Outros serviços,68.0
Amazonas,4º trimestre 2018,Serviços domésticos,74.0
Amazonas,4º trimestre 2018,Atividades mal definidas,0.0
Amazonas,1º trimestre 2019,"Agricultura, pecuária, produção florestal, pesca e aquicultura",265.0
Amazonas,1º trimestre 2019,Indústria geral,167.0
Amazonas,1º trimestre 2019,Indústria de transformação,153.0
Amazonas,1º trimestre 2019,Construção,94.0
Amazonas,1º trimestre 2019,"Comércio, reparação de veículos automotores e motocicletas",290.0
Amazonas,1º trimestre 2019,"Transporte, armazenagem e correio",93.0
Amazonas,1º trimestre 2019,Alojamento e alimentação,103.0
Amazonas,1º trimestre 2019,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",115.0
