municipio,trimestre,Grupo,quantidade de idade
São Luís (MA),3º trimestre 2024,40 a 59 anos,278.0
São Luís (MA),3º trimestre 2024,60 anos ou mais,160.0
São Luís (MA),4º trimestre 2024,14 a 17 anos,58.0
São Luís (MA),4º trimestre 2024,18 a 24 anos,142.0
São Luís (MA),4º trimestre 2024,25 a 39 anos,296.0
São Luís (MA),4º trimestre 2024,40 a 59 anos,274.0
São Luís (MA),4º trimestre 2024,60 anos ou mais,162.0
Teresina (PI),1º trimestre 2012,14 a 17 anos,55.0
Teresina (PI),1º trimestre 2012,18 a 24 anos,110.0
Teresina (PI),1º trimestre 2012,25 a 39 anos,227.0
Teresina (PI),1º trimestre 2012,40 a 59 anos,186.0
Teresina (PI),1º trimestre 2012,60 anos ou mais,73.0
Teresina (PI),2º trimestre 2012,14 a 17 anos,61.0
Teresina (PI),2º trimestre 2012,18 a 24 anos,112.0
Teresina (PI),2º trimestre 2012,25 a 39 anos,227.0
Teresina (PI),2º trimestre 2012,40 a 59 anos,185.0
Teresina (PI),2º trimestre 2012,60 anos ou mais,75.0
Teresina (PI),3º trimestre 2012,14 a 17 anos,64.0
Teresina (PI),3º trimestre 2012,18 a 24 anos,112.0
Teresina (PI),3º trimestre 2012,25 a 39 anos,225.0
Teresina (PI),3º trimestre 2012,40 a 59 anos,180.0
Teresina (PI),3º trimestre 2012,60 anos ou mais,76.0
Teresina (PI),4º trimestre 2012,14 a 17 anos,65.0
Teresina (PI),4º trimestre 2012,18 a 24 anos,107.0
Teresina (PI),4º trimestre 2012,25 a 39 anos,236.0
Teresina (PI),4º trimestre 2012,40 a 59 anos,170.0
Teresina (PI),4º trimestre 2012,60 anos ou mais,77.0
Teresina (PI),1º trimestre 2013,14 a 17 anos,65.0
Teresina (PI),1º trimestre 2013,18 a 24 anos,106.0
Teresina (PI),1º trimestre 2013,25 a 39 anos,238.0
Teresina (PI),1º trimestre 2013,40 a 59 anos,177.0
Teresina (PI),1º trimestre 2013,60 anos ou mais,76.0
Teresina (PI),2º trimestre 2013,14 a 17 anos,65.0
Teresina (PI),2º trimestre 2013,18 a 24 anos,110.0
Teresina (PI),2º trimestre 2013,25 a 39 anos,240.0
Teresina (PI),2º trimestre 2013,40 a 59 anos,177.0
Teresina (PI),2º trimestre 2013,60 anos ou mais,74.0
Teresina (PI),3º trimestre 2013,14 a 17 anos,65.0
Teresina (PI),3º trimestre 2013,18 a 24 anos,105.0
Teresina (PI),3º trimestre 2013,25 a 39 anos,232.0
Teresina (PI),3º trimestre 2013,40 a 59 anos,183.0
Teresina (PI),3º trimestre 2013,60 anos ou mais,81.0
Teresina (PI),4º trimestre 2013,14 a 17 anos,59.0
Teresina (PI),4º trimestre 2013,18 a 24 anos,113.0
Teresina (PI),4º trimestre 2013,25 a 39 anos,241.0
Teresina (PI),4º trimestre 2013,40 a 59 anos,180.0
Teresina (PI),4º trimestre 2013,60 anos ou mais,75.0
Teresina (PI),1º trimestre 2014,14 a 17 anos,55.0
Teresina (PI),1º trimestre 2014,18 a 24 anos,114.0
Teresina (PI),1º trimestre 2014,25 a 39 anos,245.0
Teresina (PI),1º trimestre 2014,40 a 59 anos,178.0
Teresina (PI),1º trimestre 2014,60 anos ou mais,72.0
Teresina (PI),2º trimestre 2014,14 a 17 anos,57.0
Teresina (PI),2º trimestre 2014,18 a 24 anos,103.0
Teresina (PI),2º trimestre 2014,25 a 39 anos,246.0
Teresina (PI),2º trimestre 2014,40 a 59 anos,177.0
Teresina (PI),2º trimestre 2014,60 anos ou mais,75.0
Teresina (PI),3º trimestre 2014,14 a 17 anos,58.0
Teresina (PI),3º trimestre 2014,18 a 24 anos,98.0
Teresina (PI),3º trimestre 2014,25 a 39 anos,249.0
Teresina (PI),3º trimestre 2014,40 a 59 anos,178.0
Teresina (PI),3º trimestre 2014,60 anos ou mais,76.0
Teresina (PI),4º trimestre 2014,14 a 17 anos,57.0
Teresina (PI),4º trimestre 2014,18 a 24 anos,98.0
Teresina (PI),4º trimestre 2014,25 a 39 anos,252.0
Teresina (PI),4º trimestre 2014,40 a 59 anos,178.0
Teresina (PI),4º trimestre 2014,60 anos ou mais,73.0
Teresina (PI),1º trimestre 2015,14 a 17 anos,59.0
Teresina (PI),1º trimestre 2015,18 a 24 anos,90.0
Teresina (PI),1º trimestre 2015,25 a 39 anos,251.0
Teresina (PI),1º trimestre 2015,40 a 59 anos,175.0
Teresina (PI),1º trimestre 2015,60 anos ou mais,79.0
Teresina (PI),2º trimestre 2015,14 a 17 anos,62.0
Teresina (PI),2º trimestre 2015,18 a 24 anos,87.0
Teresina (PI),2º trimestre 2015,25 a 39 anos,252.0
Teresina (PI),2º trimestre 2015,40 a 59 anos,176.0
Teresina (PI),2º trimestre 2015,60 anos ou mais,79.0
Teresina (PI),3º trimestre 2015,14 a 17 anos,58.0
Teresina (PI),3º trimestre 2015,18 a 24 anos,95.0
Teresina (PI),3º trimestre 2015,25 a 39 anos,253.0
Teresina (PI),3º trimestre 2015,40 a 59 anos,174.0
Teresina (PI),3º trimestre 2015,60 anos ou mais,81.0
Teresina (PI),4º trimestre 2015,14 a 17 anos,58.0
Teresina (PI),4º trimestre 2015,18 a 24 anos,101.0
Teresina (PI),4º trimestre 2015,25 a 39 anos,244.0
Teresina (PI),4º trimestre 2015,40 a 59 anos,182.0
Teresina (PI),4º trimestre 2015,60 anos ou mais,86.0
Teresina (PI),1º trimestre 2016,14 a 17 anos,53.0
Teresina (PI),1º trimestre 2016,18 a 24 anos,94.0
Teresina (PI),1º trimestre 2016,25 a 39 anos,253.0
Teresina (PI),1º trimestre 2016,40 a 59 anos,187.0
Teresina (PI),1º trimestre 2016,60 anos ou mais,85.0
Teresina (PI),2º trimestre 2016,14 a 17 anos,46.0
Teresina (PI),2º trimestre 2016,18 a 24 anos,96.0
Teresina (PI),2º trimestre 2016,25 a 39 anos,252.0
Teresina (PI),2º trimestre 2016,40 a 59 anos,197.0
Teresina (PI),2º trimestre 2016,60 anos ou mais,87.0
Teresina (PI),3º trimestre 2016,14 a 17 anos,58.0
Teresina (PI),3º trimestre 2016,18 a 24 anos,102.0
Teresina (PI),3º trimestre 2016,25 a 39 anos,231.0
Teresina (PI),3º trimestre 2016,40 a 59 anos,215.0
Teresina (PI),3º trimestre 2016,60 anos ou mais,82.0
Teresina (PI),4º trimestre 2016,14 a 17 anos,63.0
Teresina (PI),4º trimestre 2016,18 a 24 anos,100.0
Teresina (PI),4º trimestre 2016,25 a 39 anos,228.0
Teresina (PI),4º trimestre 2016,40 a 59 anos,212.0
Teresina (PI),4º trimestre 2016,60 anos ou mais,82.0
Teresina (PI),1º trimestre 2017,14 a 17 anos,55.0
Teresina (PI),1º trimestre 2017,18 a 24 anos,99.0
Teresina (PI),1º trimestre 2017,25 a 39 anos,234.0
Teresina (PI),1º trimestre 2017,40 a 59 anos,211.0
Teresina (PI),1º trimestre 2017,60 anos ou mais,81.0
Teresina (PI),2º trimestre 2017,14 a 17 anos,57.0
Teresina (PI),2º trimestre 2017,18 a 24 anos,99.0
Teresina (PI),2º trimestre 2017,25 a 39 anos,232.0
Teresina (PI),2º trimestre 2017,40 a 59 anos,216.0
Teresina (PI),2º trimestre 2017,60 anos ou mais,84.0
Teresina (PI),3º trimestre 2017,14 a 17 anos,59.0
Teresina (PI),3º trimestre 2017,18 a 24 anos,98.0
Teresina (PI),3º trimestre 2017,25 a 39 anos,220.0
Teresina (PI),3º trimestre 2017,40 a 59 anos,225.0
Teresina (PI),3º trimestre 2017,60 anos ou mais,85.0
Teresina (PI),4º trimestre 2017,14 a 17 anos,55.0
Teresina (PI),4º trimestre 2017,18 a 24 anos,103.0
Teresina (PI),4º trimestre 2017,25 a 39 anos,218.0
Teresina (PI),4º trimestre 2017,40 a 59 anos,221.0
Teresina (PI),4º trimestre 2017,60 anos ou mais,95.0
Teresina (PI),1º trimestre 2018,14 a 17 anos,51.0
Teresina (PI),1º trimestre 2018,18 a 24 anos,111.0
Teresina (PI),1º trimestre 2018,25 a 39 anos,212.0
Teresina (PI),1º trimestre 2018,40 a 59 anos,219.0
Teresina (PI),1º trimestre 2018,60 anos ou mais,103.0
Teresina (PI),2º trimestre 2018,14 a 17 anos,52.0
Teresina (PI),2º trimestre 2018,18 a 24 anos,116.0
Teresina (PI),2º trimestre 2018,25 a 39 anos,210.0
Teresina (PI),2º trimestre 2018,40 a 59 anos,218.0
Teresina (PI),2º trimestre 2018,60 anos ou mais,103.0
Teresina (PI),3º trimestre 2018,14 a 17 anos,48.0
Teresina (PI),3º trimestre 2018,18 a 24 anos,112.0
Teresina (PI),3º trimestre 2018,25 a 39 anos,209.0
Teresina (PI),3º trimestre 2018,40 a 59 anos,218.0
Teresina (PI),3º trimestre 2018,60 anos ou mais,102.0
Teresina (PI),4º trimestre 2018,14 a 17 anos,47.0
Teresina (PI),4º trimestre 2018,18 a 24 anos,113.0
Teresina (PI),4º trimestre 2018,25 a 39 anos,212.0
Teresina (PI),4º trimestre 2018,40 a 59 anos,216.0
Teresina (PI),4º trimestre 2018,60 anos ou mais,100.0
Teresina (PI),1º trimestre 2019,14 a 17 anos,47.0
Teresina (PI),1º trimestre 2019,18 a 24 anos,108.0
Teresina (PI),1º trimestre 2019,25 a 39 anos,214.0
Teresina (PI),1º trimestre 2019,40 a 59 anos,213.0
Teresina (PI),1º trimestre 2019,60 anos ou mais,103.0
Teresina (PI),2º trimestre 2019,14 a 17 anos,47.0
Teresina (PI),2º trimestre 2019,18 a 24 anos,101.0
Teresina (PI),2º trimestre 2019,25 a 39 anos,208.0
Teresina (PI),2º trimestre 2019,40 a 59 anos,220.0
Teresina (PI),2º trimestre 2019,60 anos ou mais,114.0
Teresina (PI),3º trimestre 2019,14 a 17 anos,53.0
Teresina (PI),3º trimestre 2019,18 a 24 anos,99.0
Teresina (PI),3º trimestre 2019,25 a 39 anos,211.0
Teresina (PI),3º trimestre 2019,40 a 59 anos,224.0
Teresina (PI),3º trimestre 2019,60 anos ou mais,112.0
Teresina (PI),4º trimestre 2019,14 a 17 anos,49.0
Teresina (PI),4º trimestre 2019,18 a 24 anos,104.0
Teresina (PI),4º trimestre 2019,25 a 39 anos,213.0
Teresina (PI),4º trimestre 2019,40 a 59 anos,228.0
Teresina (PI),4º trimestre 2019,60 anos ou mais,116.0
Teresina (PI),1º trimestre 2020,14 a 17 anos,49.0
Teresina (PI),1º trimestre 2020,18 a 24 anos,97.0
Teresina (PI),1º trimestre 2020,25 a 39 anos,193.0
Teresina (PI),1º trimestre 2020,40 a 59 anos,237.0
Teresina (PI),1º trimestre 2020,60 anos ou mais,115.0
Teresina (PI),2º trimestre 2020,14 a 17 anos,0.0
Teresina (PI),2º trimestre 2020,18 a 24 anos,0.0
Teresina (PI),2º trimestre 2020,25 a 39 anos,0.0
Teresina (PI),2º trimestre 2020,40 a 59 anos,0.0
Teresina (PI),2º trimestre 2020,60 anos ou mais,0.0
Teresina (PI),3º trimestre 2020,14 a 17 anos,0.0
Teresina (PI),3º trimestre 2020,18 a 24 anos,0.0
Teresina (PI),3º trimestre 2020,25 a 39 anos,0.0
Teresina (PI),3º trimestre 2020,40 a 59 anos,0.0
Teresina (PI),3º trimestre 2020,60 anos ou mais,0.0
Teresina (PI),4º trimestre 2020,14 a 17 anos,0.0
Teresina (PI),4º trimestre 2020,18 a 24 anos,0.0
Teresina (PI),4º trimestre 2020,25 a 39 anos,0.0
Teresina (PI),4º trimestre 2020,40 a 59 anos,0.0
Teresina (PI),4º trimestre 2020,60 anos ou mais,0.0
Teresina (PI),1º trimestre 2021,14 a 17 anos,0.0
Teresina (PI),1º trimestre 2021,18 a 24 anos,0.0
Teresina (PI),1º trimestre 2021,25 a 39 anos,0.0
Teresina (PI),1º trimestre 2021,40 a 59 anos,0.0
Teresina (PI),1º trimestre 2021,60 anos ou mais,0.0
Teresina (PI),2º trimestre 2021,14 a 17 anos,0.0
Teresina (PI),2º trimestre 2021,18 a 24 anos,0.0
Teresina (PI),2º trimestre 2021,25 a 39 anos,0.0
Teresina (PI),2º trimestre 2021,40 a 59 anos,0.0
Teresina (PI),2º trimestre 2021,60 anos ou mais,0.0
Teresina (PI),3º trimestre 2021,14 a 17 anos,0.0
Teresina (PI),3º trimestre 2021,18 a 24 anos,0.0
Teresina (PI),3º trimestre 2021,25 a 39 anos,0.0
Teresina (PI),3º trimestre 2021,40 a 59 anos,0.0
Teresina (PI),3º trimestre 2021,60 anos ou mais,0.0
Teresina (PI),4º trimestre 2021,14 a 17 anos,0.0
Teresina (PI),4º trimestre 2021,18 a 24 anos,0.0
Teresina (PI),4º trimestre 2021,25 a 39 anos,0.0
Teresina (PI),4º trimestre 2021,40 a 59 anos,0.0
Teresina (PI),4º trimestre 2021,60 anos ou mais,0.0
Teresina (PI),1º trimestre 2022,14 a 17 anos,0.0
Teresina (PI),1º trimestre 2022,18 a 24 anos,0.0
Teresina (PI),1º trimestre 2022,25 a 39 anos,0.0
Teresina (PI),1º trimestre 2022,40 a 59 anos,0.0
Teresina (PI),1º trimestre 2022,60 anos ou mais,0.0
Teresina (PI),2º trimestre 2022,14 a 17 anos,45.0
Teresina (PI),2º trimestre 2022,18 a 24 anos,109.0
Teresina (PI),2º trimestre 2022,25 a 39 anos,217.0
Teresina (PI),2º trimestre 2022,40 a 59 anos,212.0
Teresina (PI),2º trimestre 2022,60 anos ou mais,132.0
Teresina (PI),3º trimestre 2022,14 a 17 anos,45.0
Teresina (PI),3º trimestre 2022,18 a 24 anos,112.0
Teresina (PI),3º trimestre 2022,25 a 39 anos,207.0
Teresina (PI),3º trimestre 2022,40 a 59 anos,233.0
Teresina (PI),3º trimestre 2022,60 anos ou mais,132.0
Teresina (PI),4º trimestre 2022,14 a 17 anos,50.0
Teresina (PI),4º trimestre 2022,18 a 24 anos,105.0
Teresina (PI),4º trimestre 2022,25 a 39 anos,205.0
Teresina (PI),4º trimestre 2022,40 a 59 anos,234.0
Teresina (PI),4º trimestre 2022,60 anos ou mais,133.0
Teresina (PI),1º trimestre 2023,14 a 17 anos,49.0
Teresina (PI),1º trimestre 2023,18 a 24 anos,97.0
Teresina (PI),1º trimestre 2023,25 a 39 anos,203.0
Teresina (PI),1º trimestre 2023,40 a 59 anos,252.0
Teresina (PI),1º trimestre 2023,60 anos ou mais,122.0
Teresina (PI),2º trimestre 2023,14 a 17 anos,53.0
Teresina (PI),2º trimestre 2023,18 a 24 anos,96.0
Teresina (PI),2º trimestre 2023,25 a 39 anos,202.0
Teresina (PI),2º trimestre 2023,40 a 59 anos,246.0
Teresina (PI),2º trimestre 2023,60 anos ou mais,123.0
Teresina (PI),3º trimestre 2023,14 a 17 anos,46.0
Teresina (PI),3º trimestre 2023,18 a 24 anos,94.0
Teresina (PI),3º trimestre 2023,25 a 39 anos,207.0
Teresina (PI),3º trimestre 2023,40 a 59 anos,243.0
Teresina (PI),3º trimestre 2023,60 anos ou mais,134.0
Teresina (PI),4º trimestre 2023,14 a 17 anos,44.0
Teresina (PI),4º trimestre 2023,18 a 24 anos,97.0
Teresina (PI),4º trimestre 2023,25 a 39 anos,205.0
Teresina (PI),4º trimestre 2023,40 a 59 anos,238.0
Teresina (PI),4º trimestre 2023,60 anos ou mais,146.0
Teresina (PI),1º trimestre 2024,14 a 17 anos,47.0
Teresina (PI),1º trimestre 2024,18 a 24 anos,94.0
Teresina (PI),1º trimestre 2024,25 a 39 anos,206.0
Teresina (PI),1º trimestre 2024,40 a 59 anos,235.0
Teresina (PI),1º trimestre 2024,60 anos ou mais,141.0
Teresina (PI),2º trimestre 2024,14 a 17 anos,46.0
Teresina (PI),2º trimestre 2024,18 a 24 anos,88.0
Teresina (PI),2º trimestre 2024,25 a 39 anos,212.0
Teresina (PI),2º trimestre 2024,40 a 59 anos,225.0
Teresina (PI),2º trimestre 2024,60 anos ou mais,143.0
Teresina (PI),3º trimestre 2024,14 a 17 anos,45.0
Teresina (PI),3º trimestre 2024,18 a 24 anos,85.0
Teresina (PI),3º trimestre 2024,25 a 39 anos,215.0
Teresina (PI),3º trimestre 2024,40 a 59 anos,231.0
Teresina (PI),3º trimestre 2024,60 anos ou mais,141.0
Teresina (PI),4º trimestre 2024,14 a 17 anos,51.0
Teresina (PI),4º trimestre 2024,18 a 24 anos,82.0
Teresina (PI),4º trimestre 2024,25 a 39 anos,203.0
Teresina (PI),4º trimestre 2024,40 a 59 anos,237.0
Teresina (PI),4º trimestre 2024,60 anos ou mais,140.0
Fortaleza (CE),1º trimestre 2012,14 a 17 anos,195.0
Fortaleza (CE),1º trimestre 2012,18 a 24 anos,328.0
Fortaleza (CE),1º trimestre 2012,25 a 39 anos,649.0
Fortaleza (CE),1º trimestre 2012,40 a 59 anos,574.0
Fortaleza (CE),1º trimestre 2012,60 anos ou mais,274.0
Fortaleza (CE),2º trimestre 2012,14 a 17 anos,179.0
Fortaleza (CE),2º trimestre 2012,18 a 24 anos,347.0
Fortaleza (CE),2º trimestre 2012,25 a 39 anos,656.0
Fortaleza (CE),2º trimestre 2012,40 a 59 anos,555.0
Fortaleza (CE),2º trimestre 2012,60 anos ou mais,275.0
Fortaleza (CE),3º trimestre 2012,14 a 17 anos,169.0
Fortaleza (CE),3º trimestre 2012,18 a 24 anos,327.0
Fortaleza (CE),3º trimestre 2012,25 a 39 anos,656.0
Fortaleza (CE),3º trimestre 2012,40 a 59 anos,560.0
Fortaleza (CE),3º trimestre 2012,60 anos ou mais,298.0
Fortaleza (CE),4º trimestre 2012,14 a 17 anos,166.0
Fortaleza (CE),4º trimestre 2012,18 a 24 anos,349.0
Fortaleza (CE),4º trimestre 2012,25 a 39 anos,676.0
Fortaleza (CE),4º trimestre 2012,40 a 59 anos,564.0
Fortaleza (CE),4º trimestre 2012,60 anos ou mais,269.0
Fortaleza (CE),1º trimestre 2013,14 a 17 anos,167.0
Fortaleza (CE),1º trimestre 2013,18 a 24 anos,358.0
Fortaleza (CE),1º trimestre 2013,25 a 39 anos,670.0
Fortaleza (CE),1º trimestre 2013,40 a 59 anos,569.0
Fortaleza (CE),1º trimestre 2013,60 anos ou mais,269.0
Fortaleza (CE),2º trimestre 2013,14 a 17 anos,161.0
Fortaleza (CE),2º trimestre 2013,18 a 24 anos,362.0
Fortaleza (CE),2º trimestre 2013,25 a 39 anos,659.0
Fortaleza (CE),2º trimestre 2013,40 a 59 anos,579.0
Fortaleza (CE),2º trimestre 2013,60 anos ou mais,274.0
Fortaleza (CE),3º trimestre 2013,14 a 17 anos,164.0
Fortaleza (CE),3º trimestre 2013,18 a 24 anos,351.0
Fortaleza (CE),3º trimestre 2013,25 a 39 anos,668.0
Fortaleza (CE),3º trimestre 2013,40 a 59 anos,586.0
Fortaleza (CE),3º trimestre 2013,60 anos ou mais,283.0
Fortaleza (CE),4º trimestre 2013,14 a 17 anos,167.0
Fortaleza (CE),4º trimestre 2013,18 a 24 anos,343.0
Fortaleza (CE),4º trimestre 2013,25 a 39 anos,681.0
Fortaleza (CE),4º trimestre 2013,40 a 59 anos,607.0
Fortaleza (CE),4º trimestre 2013,60 anos ou mais,278.0
Fortaleza (CE),1º trimestre 2014,14 a 17 anos,156.0
Fortaleza (CE),1º trimestre 2014,18 a 24 anos,359.0
Fortaleza (CE),1º trimestre 2014,25 a 39 anos,654.0
Fortaleza (CE),1º trimestre 2014,40 a 59 anos,618.0
Fortaleza (CE),1º trimestre 2014,60 anos ou mais,282.0
Fortaleza (CE),2º trimestre 2014,14 a 17 anos,165.0
Fortaleza (CE),2º trimestre 2014,18 a 24 anos,343.0
Fortaleza (CE),2º trimestre 2014,25 a 39 anos,664.0
Fortaleza (CE),2º trimestre 2014,40 a 59 anos,610.0
Fortaleza (CE),2º trimestre 2014,60 anos ou mais,293.0
Fortaleza (CE),3º trimestre 2014,14 a 17 anos,173.0
Fortaleza (CE),3º trimestre 2014,18 a 24 anos,316.0
Fortaleza (CE),3º trimestre 2014,25 a 39 anos,698.0
Fortaleza (CE),3º trimestre 2014,40 a 59 anos,609.0
Fortaleza (CE),3º trimestre 2014,60 anos ou mais,285.0
Fortaleza (CE),4º trimestre 2014,14 a 17 anos,174.0
Fortaleza (CE),4º trimestre 2014,18 a 24 anos,328.0
Fortaleza (CE),4º trimestre 2014,25 a 39 anos,683.0
Fortaleza (CE),4º trimestre 2014,40 a 59 anos,605.0
Fortaleza (CE),4º trimestre 2014,60 anos ou mais,285.0
Fortaleza (CE),1º trimestre 2015,14 a 17 anos,177.0
Fortaleza (CE),1º trimestre 2015,18 a 24 anos,332.0
Fortaleza (CE),1º trimestre 2015,25 a 39 anos,678.0
Fortaleza (CE),1º trimestre 2015,40 a 59 anos,600.0
Fortaleza (CE),1º trimestre 2015,60 anos ou mais,282.0
Fortaleza (CE),2º trimestre 2015,14 a 17 anos,183.0
Fortaleza (CE),2º trimestre 2015,18 a 24 anos,331.0
Fortaleza (CE),2º trimestre 2015,25 a 39 anos,662.0
Fortaleza (CE),2º trimestre 2015,40 a 59 anos,609.0
Fortaleza (CE),2º trimestre 2015,60 anos ou mais,293.0
Fortaleza (CE),3º trimestre 2015,14 a 17 anos,176.0
Fortaleza (CE),3º trimestre 2015,18 a 24 anos,337.0
Fortaleza (CE),3º trimestre 2015,25 a 39 anos,664.0
Fortaleza (CE),3º trimestre 2015,40 a 59 anos,605.0
Fortaleza (CE),3º trimestre 2015,60 anos ou mais,291.0
Fortaleza (CE),4º trimestre 2015,14 a 17 anos,165.0
Fortaleza (CE),4º trimestre 2015,18 a 24 anos,333.0
Fortaleza (CE),4º trimestre 2015,25 a 39 anos,687.0
Fortaleza (CE),4º trimestre 2015,40 a 59 anos,600.0
Fortaleza (CE),4º trimestre 2015,60 anos ou mais,288.0
Fortaleza (CE),1º trimestre 2016,14 a 17 anos,152.0
Fortaleza (CE),1º trimestre 2016,18 a 24 anos,333.0
Fortaleza (CE),1º trimestre 2016,25 a 39 anos,692.0
Fortaleza (CE),1º trimestre 2016,40 a 59 anos,616.0
Fortaleza (CE),1º trimestre 2016,60 anos ou mais,299.0
Fortaleza (CE),2º trimestre 2016,14 a 17 anos,156.0
Fortaleza (CE),2º trimestre 2016,18 a 24 anos,328.0
Fortaleza (CE),2º trimestre 2016,25 a 39 anos,699.0
Fortaleza (CE),2º trimestre 2016,40 a 59 anos,605.0
Fortaleza (CE),2º trimestre 2016,60 anos ou mais,309.0
Fortaleza (CE),3º trimestre 2016,14 a 17 anos,173.0
Fortaleza (CE),3º trimestre 2016,18 a 24 anos,335.0
Fortaleza (CE),3º trimestre 2016,25 a 39 anos,692.0
Fortaleza (CE),3º trimestre 2016,40 a 59 anos,592.0
Fortaleza (CE),3º trimestre 2016,60 anos ou mais,313.0
Fortaleza (CE),4º trimestre 2016,14 a 17 anos,165.0
Fortaleza (CE),4º trimestre 2016,18 a 24 anos,327.0
Fortaleza (CE),4º trimestre 2016,25 a 39 anos,710.0
Fortaleza (CE),4º trimestre 2016,40 a 59 anos,591.0
Fortaleza (CE),4º trimestre 2016,60 anos ou mais,315.0
Fortaleza (CE),1º trimestre 2017,14 a 17 anos,161.0
Fortaleza (CE),1º trimestre 2017,18 a 24 anos,332.0
Fortaleza (CE),1º trimestre 2017,25 a 39 anos,693.0
Fortaleza (CE),1º trimestre 2017,40 a 59 anos,601.0
Fortaleza (CE),1º trimestre 2017,60 anos ou mais,330.0
Fortaleza (CE),2º trimestre 2017,14 a 17 anos,155.0
Fortaleza (CE),2º trimestre 2017,18 a 24 anos,327.0
Fortaleza (CE),2º trimestre 2017,25 a 39 anos,714.0
Fortaleza (CE),2º trimestre 2017,40 a 59 anos,605.0
Fortaleza (CE),2º trimestre 2017,60 anos ou mais,324.0
Fortaleza (CE),3º trimestre 2017,14 a 17 anos,156.0
Fortaleza (CE),3º trimestre 2017,18 a 24 anos,340.0
Fortaleza (CE),3º trimestre 2017,25 a 39 anos,704.0
Fortaleza (CE),3º trimestre 2017,40 a 59 anos,615.0
Fortaleza (CE),3º trimestre 2017,60 anos ou mais,321.0
Fortaleza (CE),4º trimestre 2017,14 a 17 anos,147.0
Fortaleza (CE),4º trimestre 2017,18 a 24 anos,305.0
Fortaleza (CE),4º trimestre 2017,25 a 39 anos,738.0
Fortaleza (CE),4º trimestre 2017,40 a 59 anos,630.0
Fortaleza (CE),4º trimestre 2017,60 anos ou mais,315.0
Fortaleza (CE),1º trimestre 2018,14 a 17 anos,148.0
Fortaleza (CE),1º trimestre 2018,18 a 24 anos,323.0
Fortaleza (CE),1º trimestre 2018,25 a 39 anos,713.0
Fortaleza (CE),1º trimestre 2018,40 a 59 anos,644.0
Fortaleza (CE),1º trimestre 2018,60 anos ou mais,305.0
Fortaleza (CE),2º trimestre 2018,14 a 17 anos,147.0
Fortaleza (CE),2º trimestre 2018,18 a 24 anos,332.0
Fortaleza (CE),2º trimestre 2018,25 a 39 anos,711.0
Fortaleza (CE),2º trimestre 2018,40 a 59 anos,652.0
Fortaleza (CE),2º trimestre 2018,60 anos ou mais,316.0
Fortaleza (CE),3º trimestre 2018,14 a 17 anos,148.0
Fortaleza (CE),3º trimestre 2018,18 a 24 anos,307.0
Fortaleza (CE),3º trimestre 2018,25 a 39 anos,693.0
Fortaleza (CE),3º trimestre 2018,40 a 59 anos,686.0
Fortaleza (CE),3º trimestre 2018,60 anos ou mais,342.0
Fortaleza (CE),4º trimestre 2018,14 a 17 anos,152.0
Fortaleza (CE),4º trimestre 2018,18 a 24 anos,322.0
Fortaleza (CE),4º trimestre 2018,25 a 39 anos,652.0
Fortaleza (CE),4º trimestre 2018,40 a 59 anos,719.0
Fortaleza (CE),4º trimestre 2018,60 anos ou mais,353.0
Fortaleza (CE),1º trimestre 2019,14 a 17 anos,134.0
Fortaleza (CE),1º trimestre 2019,18 a 24 anos,308.0
Fortaleza (CE),1º trimestre 2019,25 a 39 anos,674.0
Fortaleza (CE),1º trimestre 2019,40 a 59 anos,691.0
Fortaleza (CE),1º trimestre 2019,60 anos ou mais,375.0
Fortaleza (CE),2º trimestre 2019,14 a 17 anos,131.0
Fortaleza (CE),2º trimestre 2019,18 a 24 anos,327.0
Fortaleza (CE),2º trimestre 2019,25 a 39 anos,658.0
Fortaleza (CE),2º trimestre 2019,40 a 59 anos,685.0
Fortaleza (CE),2º trimestre 2019,60 anos ou mais,359.0
Fortaleza (CE),3º trimestre 2019,14 a 17 anos,135.0
Fortaleza (CE),3º trimestre 2019,18 a 24 anos,325.0
Fortaleza (CE),3º trimestre 2019,25 a 39 anos,646.0
Fortaleza (CE),3º trimestre 2019,40 a 59 anos,685.0
Fortaleza (CE),3º trimestre 2019,60 anos ou mais,377.0
Fortaleza (CE),4º trimestre 2019,14 a 17 anos,144.0
Fortaleza (CE),4º trimestre 2019,18 a 24 anos,327.0
Fortaleza (CE),4º trimestre 2019,25 a 39 anos,660.0
Fortaleza (CE),4º trimestre 2019,40 a 59 anos,676.0
Fortaleza (CE),4º trimestre 2019,60 anos ou mais,381.0
Fortaleza (CE),1º trimestre 2020,14 a 17 anos,126.0
Fortaleza (CE),1º trimestre 2020,18 a 24 anos,308.0
Fortaleza (CE),1º trimestre 2020,25 a 39 anos,661.0
Fortaleza (CE),1º trimestre 2020,40 a 59 anos,708.0
Fortaleza (CE),1º trimestre 2020,60 anos ou mais,377.0
Fortaleza (CE),2º trimestre 2020,14 a 17 anos,0.0
Fortaleza (CE),2º trimestre 2020,18 a 24 anos,0.0
Fortaleza (CE),2º trimestre 2020,25 a 39 anos,0.0
Fortaleza (CE),2º trimestre 2020,40 a 59 anos,0.0
Fortaleza (CE),2º trimestre 2020,60 anos ou mais,0.0
Fortaleza (CE),3º trimestre 2020,14 a 17 anos,0.0
Fortaleza (CE),3º trimestre 2020,18 a 24 anos,0.0
