municipio,trimestre,Posição na ocupação,quantidade de posição e categoria
Maranhão,1º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico",983.0
Maranhão,1º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",511.0
Maranhão,1º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",472.0
Maranhão,1º trimestre 2024,Trabalhador doméstico,149.0
Maranhão,1º trimestre 2024,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Maranhão,1º trimestre 2024,Trabalhador doméstico - sem carteira de trabalho assinada,136.0
Maranhão,1º trimestre 2024,Empregado no setor público,445.0
Maranhão,1º trimestre 2024,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",30.0
Maranhão,1º trimestre 2024,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",197.0
Maranhão,1º trimestre 2024,Empregado no setor público - militar e funcionário público estatutário,218.0
Maranhão,1º trimestre 2024,Empregador,73.0
Maranhão,1º trimestre 2024,Conta própria,823.0
Maranhão,1º trimestre 2024,Trabalhador familiar auxiliar,53.0
Maranhão,2º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico",1021.0
Maranhão,2º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",535.0
Maranhão,2º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",487.0
Maranhão,2º trimestre 2024,Trabalhador doméstico,149.0
Maranhão,2º trimestre 2024,Trabalhador doméstico - com carteira de trabalho assinada,16.0
Maranhão,2º trimestre 2024,Trabalhador doméstico - sem carteira de trabalho assinada,132.0
Maranhão,2º trimestre 2024,Empregado no setor público,502.0
Maranhão,2º trimestre 2024,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",38.0
Maranhão,2º trimestre 2024,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",222.0
Maranhão,2º trimestre 2024,Empregado no setor público - militar e funcionário público estatutário,242.0
Maranhão,2º trimestre 2024,Empregador,80.0
Maranhão,2º trimestre 2024,Conta própria,821.0
Maranhão,2º trimestre 2024,Trabalhador familiar auxiliar,58.0
Maranhão,3º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico",1047.0
Maranhão,3º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",551.0
Maranhão,3º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",496.0
Maranhão,3º trimestre 2024,Trabalhador doméstico,154.0
Maranhão,3º trimestre 2024,Trabalhador doméstico - com carteira de trabalho assinada,16.0
Maranhão,3º trimestre 2024,Trabalhador doméstico - sem carteira de trabalho assinada,138.0
Maranhão,3º trimestre 2024,Empregado no setor público,521.0
Maranhão,3º trimestre 2024,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",45.0
Maranhão,3º trimestre 2024,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",233.0
Maranhão,3º trimestre 2024,Empregado no setor público - militar e funcionário público estatutário,244.0
Maranhão,3º trimestre 2024,Empregador,85.0
Maranhão,3º trimestre 2024,Conta própria,831.0
Maranhão,3º trimestre 2024,Trabalhador familiar auxiliar,71.0
Maranhão,4º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico",1032.0
Maranhão,4º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",540.0
Maranhão,4º trimestre 2024,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",492.0
Maranhão,4º trimestre 2024,Trabalhador doméstico,153.0
Maranhão,4º trimestre 2024,Trabalhador doméstico - com carteira de trabalho assinada,14.0
Maranhão,4º trimestre 2024,Trabalhador doméstico - sem carteira de trabalho assinada,139.0
Maranhão,4º trimestre 2024,Empregado no setor público,496.0
Maranhão,4º trimestre 2024,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",37.0
Maranhão,4º trimestre 2024,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",229.0
Maranhão,4º trimestre 2024,Empregado no setor público - militar e funcionário público estatutário,230.0
Maranhão,4º trimestre 2024,Empregador,80.0
Maranhão,4º trimestre 2024,Conta própria,857.0
Maranhão,4º trimestre 2024,Trabalhador familiar auxiliar,62.0
Piauí,1º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico",452.0
Piauí,1º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",234.0
Piauí,1º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",218.0
Piauí,1º trimestre 2012,Trabalhador doméstico,91.0
Piauí,1º trimestre 2012,Trabalhador doméstico - com carteira de trabalho assinada,8.0
Piauí,1º trimestre 2012,Trabalhador doméstico - sem carteira de trabalho assinada,83.0
Piauí,1º trimestre 2012,Empregado no setor público,193.0
Piauí,1º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",18.0
Piauí,1º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",53.0
Piauí,1º trimestre 2012,Empregado no setor público - militar e funcionário público estatutário,122.0
Piauí,1º trimestre 2012,Empregador,45.0
Piauí,1º trimestre 2012,Conta própria,431.0
Piauí,1º trimestre 2012,Trabalhador familiar auxiliar,103.0
Piauí,2º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico",478.0
Piauí,2º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",244.0
Piauí,2º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",234.0
Piauí,2º trimestre 2012,Trabalhador doméstico,102.0
Piauí,2º trimestre 2012,Trabalhador doméstico - com carteira de trabalho assinada,8.0
Piauí,2º trimestre 2012,Trabalhador doméstico - sem carteira de trabalho assinada,93.0
Piauí,2º trimestre 2012,Empregado no setor público,195.0
Piauí,2º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",21.0
Piauí,2º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",49.0
Piauí,2º trimestre 2012,Empregado no setor público - militar e funcionário público estatutário,125.0
Piauí,2º trimestre 2012,Empregador,46.0
Piauí,2º trimestre 2012,Conta própria,409.0
Piauí,2º trimestre 2012,Trabalhador familiar auxiliar,97.0
Piauí,3º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico",502.0
Piauí,3º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",253.0
Piauí,3º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",249.0
Piauí,3º trimestre 2012,Trabalhador doméstico,108.0
Piauí,3º trimestre 2012,Trabalhador doméstico - com carteira de trabalho assinada,9.0
Piauí,3º trimestre 2012,Trabalhador doméstico - sem carteira de trabalho assinada,99.0
Piauí,3º trimestre 2012,Empregado no setor público,191.0
Piauí,3º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",12.0
Piauí,3º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",47.0
Piauí,3º trimestre 2012,Empregado no setor público - militar e funcionário público estatutário,131.0
Piauí,3º trimestre 2012,Empregador,50.0
Piauí,3º trimestre 2012,Conta própria,400.0
Piauí,3º trimestre 2012,Trabalhador familiar auxiliar,105.0
Piauí,4º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico",503.0
Piauí,4º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",268.0
Piauí,4º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",235.0
Piauí,4º trimestre 2012,Trabalhador doméstico,98.0
Piauí,4º trimestre 2012,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Piauí,4º trimestre 2012,Trabalhador doméstico - sem carteira de trabalho assinada,86.0
Piauí,4º trimestre 2012,Empregado no setor público,180.0
Piauí,4º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",8.0
Piauí,4º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",51.0
Piauí,4º trimestre 2012,Empregado no setor público - militar e funcionário público estatutário,121.0
Piauí,4º trimestre 2012,Empregador,49.0
Piauí,4º trimestre 2012,Conta própria,407.0
Piauí,4º trimestre 2012,Trabalhador familiar auxiliar,115.0
Piauí,1º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico",496.0
Piauí,1º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",268.0
Piauí,1º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",228.0
Piauí,1º trimestre 2013,Trabalhador doméstico,91.0
Piauí,1º trimestre 2013,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Piauí,1º trimestre 2013,Trabalhador doméstico - sem carteira de trabalho assinada,79.0
Piauí,1º trimestre 2013,Empregado no setor público,181.0
Piauí,1º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",15.0
Piauí,1º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",46.0
Piauí,1º trimestre 2013,Empregado no setor público - militar e funcionário público estatutário,120.0
Piauí,1º trimestre 2013,Empregador,48.0
Piauí,1º trimestre 2013,Conta própria,406.0
Piauí,1º trimestre 2013,Trabalhador familiar auxiliar,114.0
Piauí,2º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico",521.0
Piauí,2º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",295.0
Piauí,2º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",227.0
Piauí,2º trimestre 2013,Trabalhador doméstico,81.0
Piauí,2º trimestre 2013,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Piauí,2º trimestre 2013,Trabalhador doméstico - sem carteira de trabalho assinada,69.0
Piauí,2º trimestre 2013,Empregado no setor público,197.0
Piauí,2º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",12.0
Piauí,2º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",61.0
Piauí,2º trimestre 2013,Empregado no setor público - militar e funcionário público estatutário,125.0
Piauí,2º trimestre 2013,Empregador,51.0
Piauí,2º trimestre 2013,Conta própria,388.0
Piauí,2º trimestre 2013,Trabalhador familiar auxiliar,126.0
Piauí,3º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico",518.0
Piauí,3º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",292.0
Piauí,3º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",226.0
Piauí,3º trimestre 2013,Trabalhador doméstico,79.0
Piauí,3º trimestre 2013,Trabalhador doméstico - com carteira de trabalho assinada,9.0
Piauí,3º trimestre 2013,Trabalhador doméstico - sem carteira de trabalho assinada,70.0
Piauí,3º trimestre 2013,Empregado no setor público,211.0
Piauí,3º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",17.0
Piauí,3º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",64.0
Piauí,3º trimestre 2013,Empregado no setor público - militar e funcionário público estatutário,131.0
Piauí,3º trimestre 2013,Empregador,50.0
Piauí,3º trimestre 2013,Conta própria,373.0
Piauí,3º trimestre 2013,Trabalhador familiar auxiliar,113.0
Piauí,4º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico",518.0
Piauí,4º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",294.0
Piauí,4º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",224.0
Piauí,4º trimestre 2013,Trabalhador doméstico,85.0
Piauí,4º trimestre 2013,Trabalhador doméstico - com carteira de trabalho assinada,11.0
Piauí,4º trimestre 2013,Trabalhador doméstico - sem carteira de trabalho assinada,74.0
Piauí,4º trimestre 2013,Empregado no setor público,208.0
Piauí,4º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",24.0
Piauí,4º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",66.0
Piauí,4º trimestre 2013,Empregado no setor público - militar e funcionário público estatutário,118.0
Piauí,4º trimestre 2013,Empregador,52.0
Piauí,4º trimestre 2013,Conta própria,390.0
Piauí,4º trimestre 2013,Trabalhador familiar auxiliar,128.0
Piauí,1º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico",522.0
Piauí,1º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",279.0
Piauí,1º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",243.0
Piauí,1º trimestre 2014,Trabalhador doméstico,91.0
Piauí,1º trimestre 2014,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Piauí,1º trimestre 2014,Trabalhador doméstico - sem carteira de trabalho assinada,79.0
Piauí,1º trimestre 2014,Empregado no setor público,213.0
Piauí,1º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",29.0
Piauí,1º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",64.0
Piauí,1º trimestre 2014,Empregado no setor público - militar e funcionário público estatutário,121.0
Piauí,1º trimestre 2014,Empregador,48.0
Piauí,1º trimestre 2014,Conta própria,403.0
Piauí,1º trimestre 2014,Trabalhador familiar auxiliar,137.0
Piauí,2º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico",540.0
Piauí,2º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",288.0
Piauí,2º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",252.0
Piauí,2º trimestre 2014,Trabalhador doméstico,95.0
Piauí,2º trimestre 2014,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Piauí,2º trimestre 2014,Trabalhador doméstico - sem carteira de trabalho assinada,83.0
Piauí,2º trimestre 2014,Empregado no setor público,220.0
Piauí,2º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",23.0
Piauí,2º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",75.0
Piauí,2º trimestre 2014,Empregado no setor público - militar e funcionário público estatutário,121.0
Piauí,2º trimestre 2014,Empregador,48.0
Piauí,2º trimestre 2014,Conta própria,375.0
Piauí,2º trimestre 2014,Trabalhador familiar auxiliar,126.0
Piauí,3º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico",550.0
Piauí,3º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",284.0
Piauí,3º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",266.0
Piauí,3º trimestre 2014,Trabalhador doméstico,90.0
Piauí,3º trimestre 2014,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Piauí,3º trimestre 2014,Trabalhador doméstico - sem carteira de trabalho assinada,79.0
Piauí,3º trimestre 2014,Empregado no setor público,212.0
Piauí,3º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",23.0
Piauí,3º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",65.0
Piauí,3º trimestre 2014,Empregado no setor público - militar e funcionário público estatutário,125.0
Piauí,3º trimestre 2014,Empregador,48.0
Piauí,3º trimestre 2014,Conta própria,393.0
Piauí,3º trimestre 2014,Trabalhador familiar auxiliar,123.0
Piauí,4º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico",548.0
Piauí,4º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",293.0
Piauí,4º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",256.0
Piauí,4º trimestre 2014,Trabalhador doméstico,92.0
Piauí,4º trimestre 2014,Trabalhador doméstico - com carteira de trabalho assinada,11.0
Piauí,4º trimestre 2014,Trabalhador doméstico - sem carteira de trabalho assinada,82.0
Piauí,4º trimestre 2014,Empregado no setor público,212.0
Piauí,4º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",21.0
Piauí,4º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",68.0
Piauí,4º trimestre 2014,Empregado no setor público - militar e funcionário público estatutário,123.0
Piauí,4º trimestre 2014,Empregador,49.0
Piauí,4º trimestre 2014,Conta própria,388.0
Piauí,4º trimestre 2014,Trabalhador familiar auxiliar,114.0
Piauí,1º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico",510.0
Piauí,1º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",271.0
Piauí,1º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",239.0
Piauí,1º trimestre 2015,Trabalhador doméstico,92.0
Piauí,1º trimestre 2015,Trabalhador doméstico - com carteira de trabalho assinada,11.0
Piauí,1º trimestre 2015,Trabalhador doméstico - sem carteira de trabalho assinada,81.0
Piauí,1º trimestre 2015,Empregado no setor público,197.0
Piauí,1º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",21.0
Piauí,1º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",54.0
Piauí,1º trimestre 2015,Empregado no setor público - militar e funcionário público estatutário,123.0
Piauí,1º trimestre 2015,Empregador,42.0
Piauí,1º trimestre 2015,Conta própria,415.0
Piauí,1º trimestre 2015,Trabalhador familiar auxiliar,119.0
Piauí,2º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico",530.0
Piauí,2º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",276.0
Piauí,2º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",254.0
Piauí,2º trimestre 2015,Trabalhador doméstico,89.0
Piauí,2º trimestre 2015,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Piauí,2º trimestre 2015,Trabalhador doméstico - sem carteira de trabalho assinada,77.0
Piauí,2º trimestre 2015,Empregado no setor público,202.0
Piauí,2º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",24.0
Piauí,2º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",64.0
Piauí,2º trimestre 2015,Empregado no setor público - militar e funcionário público estatutário,114.0
Piauí,2º trimestre 2015,Empregador,51.0
Piauí,2º trimestre 2015,Conta própria,411.0
Piauí,2º trimestre 2015,Trabalhador familiar auxiliar,119.0
Piauí,3º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico",546.0
Piauí,3º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",286.0
Piauí,3º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",260.0
Piauí,3º trimestre 2015,Trabalhador doméstico,93.0
Piauí,3º trimestre 2015,Trabalhador doméstico - com carteira de trabalho assinada,11.0
Piauí,3º trimestre 2015,Trabalhador doméstico - sem carteira de trabalho assinada,82.0
Piauí,3º trimestre 2015,Empregado no setor público,209.0
Piauí,3º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",20.0
Piauí,3º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",73.0
Piauí,3º trimestre 2015,Empregado no setor público - militar e funcionário público estatutário,116.0
Piauí,3º trimestre 2015,Empregador,49.0
Piauí,3º trimestre 2015,Conta própria,398.0
Piauí,3º trimestre 2015,Trabalhador familiar auxiliar,109.0
Piauí,4º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico",531.0
Piauí,4º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",291.0
Piauí,4º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",240.0
Piauí,4º trimestre 2015,Trabalhador doméstico,93.0
Piauí,4º trimestre 2015,Trabalhador doméstico - com carteira de trabalho assinada,14.0
Piauí,4º trimestre 2015,Trabalhador doméstico - sem carteira de trabalho assinada,79.0
Piauí,4º trimestre 2015,Empregado no setor público,206.0
Piauí,4º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",21.0
Piauí,4º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",75.0
Piauí,4º trimestre 2015,Empregado no setor público - militar e funcionário público estatutário,109.0
Piauí,4º trimestre 2015,Empregador,47.0
Piauí,4º trimestre 2015,Conta própria,414.0
Piauí,4º trimestre 2015,Trabalhador familiar auxiliar,97.0
Piauí,1º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico",527.0
Piauí,1º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",282.0
Piauí,1º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",245.0
Piauí,1º trimestre 2016,Trabalhador doméstico,90.0
Piauí,1º trimestre 2016,Trabalhador doméstico - com carteira de trabalho assinada,15.0
Piauí,1º trimestre 2016,Trabalhador doméstico - sem carteira de trabalho assinada,75.0
Piauí,1º trimestre 2016,Empregado no setor público,184.0
Piauí,1º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",26.0
Piauí,1º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",55.0
Piauí,1º trimestre 2016,Empregado no setor público - militar e funcionário público estatutário,103.0
Piauí,1º trimestre 2016,Empregador,48.0
Piauí,1º trimestre 2016,Conta própria,399.0
Piauí,1º trimestre 2016,Trabalhador familiar auxiliar,89.0
Piauí,2º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico",490.0
Piauí,2º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",257.0
Piauí,2º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",234.0
Piauí,2º trimestre 2016,Trabalhador doméstico,91.0
Piauí,2º trimestre 2016,Trabalhador doméstico - com carteira de trabalho assinada,14.0
Piauí,2º trimestre 2016,Trabalhador doméstico - sem carteira de trabalho assinada,77.0
Piauí,2º trimestre 2016,Empregado no setor público,193.0
Piauí,2º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",17.0
Piauí,2º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",57.0
Piauí,2º trimestre 2016,Empregado no setor público - militar e funcionário público estatutário,119.0
Piauí,2º trimestre 2016,Empregador,52.0
Piauí,2º trimestre 2016,Conta própria,400.0
Piauí,2º trimestre 2016,Trabalhador familiar auxiliar,77.0
Piauí,3º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico",481.0
Piauí,3º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",255.0
Piauí,3º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",226.0
Piauí,3º trimestre 2016,Trabalhador doméstico,94.0
Piauí,3º trimestre 2016,Trabalhador doméstico - com carteira de trabalho assinada,11.0
Piauí,3º trimestre 2016,Trabalhador doméstico - sem carteira de trabalho assinada,83.0
Piauí,3º trimestre 2016,Empregado no setor público,198.0
Piauí,3º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",16.0
Piauí,3º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",52.0
Piauí,3º trimestre 2016,Empregado no setor público - militar e funcionário público estatutário,130.0
Piauí,3º trimestre 2016,Empregador,61.0
Piauí,3º trimestre 2016,Conta própria,381.0
Piauí,3º trimestre 2016,Trabalhador familiar auxiliar,83.0
Piauí,4º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico",470.0
Piauí,4º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",246.0
Piauí,4º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",224.0
Piauí,4º trimestre 2016,Trabalhador doméstico,80.0
Piauí,4º trimestre 2016,Trabalhador doméstico - com carteira de trabalho assinada,13.0
Piauí,4º trimestre 2016,Trabalhador doméstico - sem carteira de trabalho assinada,66.0
Piauí,4º trimestre 2016,Empregado no setor público,194.0
Piauí,4º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",19.0
Piauí,4º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",44.0
Piauí,4º trimestre 2016,Empregado no setor público - militar e funcionário público estatutário,131.0
Piauí,4º trimestre 2016,Empregador,58.0
Piauí,4º trimestre 2016,Conta própria,388.0
Piauí,4º trimestre 2016,Trabalhador familiar auxiliar,90.0
Piauí,1º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico",461.0
Piauí,1º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",237.0
Piauí,1º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",224.0
Piauí,1º trimestre 2017,Trabalhador doméstico,75.0
Piauí,1º trimestre 2017,Trabalhador doméstico - com carteira de trabalho assinada,11.0
Piauí,1º trimestre 2017,Trabalhador doméstico - sem carteira de trabalho assinada,63.0
Piauí,1º trimestre 2017,Empregado no setor público,186.0
Piauí,1º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",17.0
Piauí,1º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",38.0
Piauí,1º trimestre 2017,Empregado no setor público - militar e funcionário público estatutário,132.0
Piauí,1º trimestre 2017,Empregador,58.0
Piauí,1º trimestre 2017,Conta própria,356.0
Piauí,1º trimestre 2017,Trabalhador familiar auxiliar,88.0
Piauí,2º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico",438.0
Piauí,2º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",228.0
Piauí,2º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",209.0
Piauí,2º trimestre 2017,Trabalhador doméstico,86.0
Piauí,2º trimestre 2017,Trabalhador doméstico - com carteira de trabalho assinada,11.0
