municipio,posição de ocupação,trimestre,quantidade de posição de ocupação
Palmas (TO),Empregado,4º trimestre 2012,94.0
Palmas (TO),Empregado,1º trimestre 2013,90.0
Palmas (TO),Empregado,2º trimestre 2013,91.0
Palmas (TO),Empregado,3º trimestre 2013,92.0
Palmas (TO),Empregado,4º trimestre 2013,91.0
Palmas (TO),Empregado,1º trimestre 2014,95.0
Palmas (TO),Empregado,2º trimestre 2014,94.0
Palmas (TO),Empregado,3º trimestre 2014,96.0
Palmas (TO),Empregado,4º trimestre 2014,94.0
Palmas (TO),Empregado,1º trimestre 2015,94.0
Palmas (TO),Empregado,2º trimestre 2015,99.0
Palmas (TO),Empregado,3º trimestre 2015,94.0
Palmas (TO),Empregado,4º trimestre 2015,99.0
Palmas (TO),Empregado,1º trimestre 2016,98.0
Palmas (TO),Empregado,2º trimestre 2016,91.0
Palmas (TO),Empregado,3º trimestre 2016,94.0
Palmas (TO),Empregado,4º trimestre 2016,100.0
Palmas (TO),Empregado,1º trimestre 2017,99.0
Palmas (TO),Empregado,2º trimestre 2017,100.0
Palmas (TO),Empregado,3º trimestre 2017,102.0
Palmas (TO),Empregado,4º trimestre 2017,106.0
Palmas (TO),Empregado,1º trimestre 2018,107.0
Palmas (TO),Empregado,2º trimestre 2018,113.0
Palmas (TO),Empregado,3º trimestre 2018,106.0
Palmas (TO),Empregado,4º trimestre 2018,104.0
Palmas (TO),Empregado,1º trimestre 2019,104.0
Palmas (TO),Empregado,2º trimestre 2019,108.0
Palmas (TO),Empregado,3º trimestre 2019,113.0
Palmas (TO),Empregado,4º trimestre 2019,111.0
Palmas (TO),Empregado,1º trimestre 2020,110.0
Palmas (TO),Empregado,2º trimestre 2020,0.0
Palmas (TO),Empregado,3º trimestre 2020,0.0
Palmas (TO),Empregado,4º trimestre 2020,0.0
Palmas (TO),Empregado,1º trimestre 2021,0.0
Palmas (TO),Empregado,2º trimestre 2021,0.0
Palmas (TO),Empregado,3º trimestre 2021,0.0
Palmas (TO),Empregado,4º trimestre 2021,0.0
Palmas (TO),Empregado,1º trimestre 2022,0.0
Palmas (TO),Empregado,2º trimestre 2022,132.0
Palmas (TO),Empregado,3º trimestre 2022,133.0
Palmas (TO),Empregado,4º trimestre 2022,133.0
Palmas (TO),Empregado,1º trimestre 2023,130.0
Palmas (TO),Empregado,2º trimestre 2023,134.0
Palmas (TO),Empregado,3º trimestre 2023,133.0
Palmas (TO),Empregado,4º trimestre 2023,141.0
Palmas (TO),Empregado,1º trimestre 2024,142.0
Palmas (TO),Empregado,2º trimestre 2024,146.0
Palmas (TO),Empregado,3º trimestre 2024,156.0
Palmas (TO),Empregado,4º trimestre 2024,159.0
Palmas (TO),Empregador,1º trimestre 2012,4.0
Palmas (TO),Empregador,2º trimestre 2012,6.0
Palmas (TO),Empregador,3º trimestre 2012,6.0
Palmas (TO),Empregador,4º trimestre 2012,5.0
Palmas (TO),Empregador,1º trimestre 2013,4.0
Palmas (TO),Empregador,2º trimestre 2013,3.0
Palmas (TO),Empregador,3º trimestre 2013,2.0
Palmas (TO),Empregador,4º trimestre 2013,2.0
Palmas (TO),Empregador,1º trimestre 2014,5.0
Palmas (TO),Empregador,2º trimestre 2014,6.0
Palmas (TO),Empregador,3º trimestre 2014,7.0
Palmas (TO),Empregador,4º trimestre 2014,5.0
Palmas (TO),Empregador,1º trimestre 2015,8.0
Palmas (TO),Empregador,2º trimestre 2015,4.0
Palmas (TO),Empregador,3º trimestre 2015,5.0
Palmas (TO),Empregador,4º trimestre 2015,5.0
Palmas (TO),Empregador,1º trimestre 2016,4.0
Palmas (TO),Empregador,2º trimestre 2016,3.0
Palmas (TO),Empregador,3º trimestre 2016,1.0
Palmas (TO),Empregador,4º trimestre 2016,2.0
Palmas (TO),Empregador,1º trimestre 2017,3.0
Palmas (TO),Empregador,2º trimestre 2017,1.0
Palmas (TO),Empregador,3º trimestre 2017,2.0
Palmas (TO),Empregador,4º trimestre 2017,3.0
Palmas (TO),Empregador,1º trimestre 2018,3.0
Palmas (TO),Empregador,2º trimestre 2018,5.0
Palmas (TO),Empregador,3º trimestre 2018,4.0
Palmas (TO),Empregador,4º trimestre 2018,3.0
Palmas (TO),Empregador,1º trimestre 2019,5.0
Palmas (TO),Empregador,2º trimestre 2019,5.0
Palmas (TO),Empregador,3º trimestre 2019,7.0
Palmas (TO),Empregador,4º trimestre 2019,6.0
Palmas (TO),Empregador,1º trimestre 2020,5.0
Palmas (TO),Empregador,2º trimestre 2020,0.0
Palmas (TO),Empregador,3º trimestre 2020,0.0
Palmas (TO),Empregador,4º trimestre 2020,0.0
Palmas (TO),Empregador,1º trimestre 2021,0.0
Palmas (TO),Empregador,2º trimestre 2021,0.0
Palmas (TO),Empregador,3º trimestre 2021,0.0
Palmas (TO),Empregador,4º trimestre 2021,0.0
Palmas (TO),Empregador,1º trimestre 2022,0.0
Palmas (TO),Empregador,2º trimestre 2022,7.0
Palmas (TO),Empregador,3º trimestre 2022,8.0
Palmas (TO),Empregador,4º trimestre 2022,11.0
Palmas (TO),Empregador,1º trimestre 2023,9.0
Palmas (TO),Empregador,2º trimestre 2023,11.0
Palmas (TO),Empregador,3º trimestre 2023,13.0
Palmas (TO),Empregador,4º trimestre 2023,13.0
Palmas (TO),Empregador,1º trimestre 2024,11.0
Palmas (TO),Empregador,2º trimestre 2024,10.0
Palmas (TO),Empregador,3º trimestre 2024,11.0
Palmas (TO),Empregador,4º trimestre 2024,11.0
Palmas (TO),Conta própria,1º trimestre 2012,22.0
Palmas (TO),Conta própria,2º trimestre 2012,22.0
Palmas (TO),Conta própria,3º trimestre 2012,22.0
Palmas (TO),Conta própria,4º trimestre 2012,26.0
Palmas (TO),Conta própria,1º trimestre 2013,24.0
Palmas (TO),Conta própria,2º trimestre 2013,24.0
Palmas (TO),Conta própria,3º trimestre 2013,27.0
Palmas (TO),Conta própria,4º trimestre 2013,27.0
Palmas (TO),Conta própria,1º trimestre 2014,20.0
Palmas (TO),Conta própria,2º trimestre 2014,22.0
Palmas (TO),Conta própria,3º trimestre 2014,22.0
Palmas (TO),Conta própria,4º trimestre 2014,20.0
Palmas (TO),Conta própria,1º trimestre 2015,19.0
Palmas (TO),Conta própria,2º trimestre 2015,24.0
Palmas (TO),Conta própria,3º trimestre 2015,24.0
Palmas (TO),Conta própria,4º trimestre 2015,22.0
Palmas (TO),Conta própria,1º trimestre 2016,24.0
Palmas (TO),Conta própria,2º trimestre 2016,34.0
Palmas (TO),Conta própria,3º trimestre 2016,29.0
Palmas (TO),Conta própria,4º trimestre 2016,25.0
Palmas (TO),Conta própria,1º trimestre 2017,24.0
Palmas (TO),Conta própria,2º trimestre 2017,24.0
Palmas (TO),Conta própria,3º trimestre 2017,27.0
Palmas (TO),Conta própria,4º trimestre 2017,28.0
Palmas (TO),Conta própria,1º trimestre 2018,27.0
Palmas (TO),Conta própria,2º trimestre 2018,29.0
Palmas (TO),Conta própria,3º trimestre 2018,28.0
Palmas (TO),Conta própria,4º trimestre 2018,37.0
Palmas (TO),Conta própria,1º trimestre 2019,31.0
Palmas (TO),Conta própria,2º trimestre 2019,31.0
Palmas (TO),Conta própria,3º trimestre 2019,27.0
Palmas (TO),Conta própria,4º trimestre 2019,28.0
Palmas (TO),Conta própria,1º trimestre 2020,28.0
Palmas (TO),Conta própria,2º trimestre 2020,0.0
Palmas (TO),Conta própria,3º trimestre 2020,0.0
Palmas (TO),Conta própria,4º trimestre 2020,0.0
Palmas (TO),Conta própria,1º trimestre 2021,0.0
Palmas (TO),Conta própria,2º trimestre 2021,0.0
Palmas (TO),Conta própria,3º trimestre 2021,0.0
Palmas (TO),Conta própria,4º trimestre 2021,0.0
Palmas (TO),Conta própria,1º trimestre 2022,0.0
Palmas (TO),Conta própria,2º trimestre 2022,34.0
Palmas (TO),Conta própria,3º trimestre 2022,29.0
Palmas (TO),Conta própria,4º trimestre 2022,37.0
Palmas (TO),Conta própria,1º trimestre 2023,31.0
Palmas (TO),Conta própria,2º trimestre 2023,33.0
Palmas (TO),Conta própria,3º trimestre 2023,33.0
Palmas (TO),Conta própria,4º trimestre 2023,33.0
Palmas (TO),Conta própria,1º trimestre 2024,32.0
Palmas (TO),Conta própria,2º trimestre 2024,38.0
Palmas (TO),Conta própria,3º trimestre 2024,33.0
Palmas (TO),Conta própria,4º trimestre 2024,34.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2012,0.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2012,1.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2012,0.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2012,1.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2013,2.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2013,1.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2013,0.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2013,0.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2014,1.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2014,1.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2014,2.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2014,1.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2015,0.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2015,1.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2015,1.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2015,0.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2016,0.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2016,0.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2016,1.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2016,0.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2017,0.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2017,1.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2017,0.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2017,1.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2018,0.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2018,0.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2018,1.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2018,1.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2019,0.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2019,3.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2019,3.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2019,4.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2020,2.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2020,0.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2020,0.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2020,0.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2021,0.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2021,0.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2021,0.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2021,0.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2022,0.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2022,1.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2022,0.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2022,1.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2023,0.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2023,0.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2023,0.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2023,0.0
Palmas (TO),Trabalhador familiar auxiliar,1º trimestre 2024,1.0
Palmas (TO),Trabalhador familiar auxiliar,2º trimestre 2024,0.0
Palmas (TO),Trabalhador familiar auxiliar,3º trimestre 2024,1.0
Palmas (TO),Trabalhador familiar auxiliar,4º trimestre 2024,0.0
São Luís (MA),Empregado,1º trimestre 2012,320.0
São Luís (MA),Empregado,2º trimestre 2012,323.0
São Luís (MA),Empregado,3º trimestre 2012,328.0
São Luís (MA),Empregado,4º trimestre 2012,315.0
São Luís (MA),Empregado,1º trimestre 2013,311.0
São Luís (MA),Empregado,2º trimestre 2013,306.0
São Luís (MA),Empregado,3º trimestre 2013,306.0
São Luís (MA),Empregado,4º trimestre 2013,320.0
São Luís (MA),Empregado,1º trimestre 2014,326.0
São Luís (MA),Empregado,2º trimestre 2014,341.0
São Luís (MA),Empregado,3º trimestre 2014,340.0
São Luís (MA),Empregado,4º trimestre 2014,324.0
São Luís (MA),Empregado,1º trimestre 2015,321.0
São Luís (MA),Empregado,2º trimestre 2015,312.0
São Luís (MA),Empregado,3º trimestre 2015,328.0
São Luís (MA),Empregado,4º trimestre 2015,324.0
São Luís (MA),Empregado,1º trimestre 2016,307.0
São Luís (MA),Empregado,2º trimestre 2016,309.0
São Luís (MA),Empregado,3º trimestre 2016,304.0
São Luís (MA),Empregado,4º trimestre 2016,303.0
São Luís (MA),Empregado,1º trimestre 2017,300.0
São Luís (MA),Empregado,2º trimestre 2017,299.0
São Luís (MA),Empregado,3º trimestre 2017,311.0
São Luís (MA),Empregado,4º trimestre 2017,299.0
São Luís (MA),Empregado,1º trimestre 2018,297.0
São Luís (MA),Empregado,2º trimestre 2018,294.0
São Luís (MA),Empregado,3º trimestre 2018,306.0
São Luís (MA),Empregado,4º trimestre 2018,312.0
São Luís (MA),Empregado,1º trimestre 2019,293.0
São Luís (MA),Empregado,2º trimestre 2019,299.0
São Luís (MA),Empregado,3º trimestre 2019,306.0
São Luís (MA),Empregado,4º trimestre 2019,316.0
São Luís (MA),Empregado,1º trimestre 2020,296.0
São Luís (MA),Empregado,2º trimestre 2020,0.0
São Luís (MA),Empregado,3º trimestre 2020,0.0
São Luís (MA),Empregado,4º trimestre 2020,0.0
São Luís (MA),Empregado,1º trimestre 2021,0.0
São Luís (MA),Empregado,2º trimestre 2021,0.0
São Luís (MA),Empregado,3º trimestre 2021,0.0
São Luís (MA),Empregado,4º trimestre 2021,0.0
São Luís (MA),Empregado,1º trimestre 2022,0.0
São Luís (MA),Empregado,2º trimestre 2022,351.0
São Luís (MA),Empregado,3º trimestre 2022,338.0
São Luís (MA),Empregado,4º trimestre 2022,347.0
São Luís (MA),Empregado,1º trimestre 2023,342.0
São Luís (MA),Empregado,2º trimestre 2023,323.0
São Luís (MA),Empregado,3º trimestre 2023,334.0
São Luís (MA),Empregado,4º trimestre 2023,365.0
São Luís (MA),Empregado,1º trimestre 2024,339.0
São Luís (MA),Empregado,2º trimestre 2024,346.0
São Luís (MA),Empregado,3º trimestre 2024,347.0
São Luís (MA),Empregado,4º trimestre 2024,350.0
São Luís (MA),Empregador,1º trimestre 2012,11.0
São Luís (MA),Empregador,2º trimestre 2012,9.0
São Luís (MA),Empregador,3º trimestre 2012,9.0
São Luís (MA),Empregador,4º trimestre 2012,11.0
São Luís (MA),Empregador,1º trimestre 2013,8.0
São Luís (MA),Empregador,2º trimestre 2013,7.0
São Luís (MA),Empregador,3º trimestre 2013,10.0
São Luís (MA),Empregador,4º trimestre 2013,4.0
São Luís (MA),Empregador,1º trimestre 2014,4.0
São Luís (MA),Empregador,2º trimestre 2014,4.0
São Luís (MA),Empregador,3º trimestre 2014,8.0
São Luís (MA),Empregador,4º trimestre 2014,9.0
São Luís (MA),Empregador,1º trimestre 2015,8.0
São Luís (MA),Empregador,2º trimestre 2015,8.0
São Luís (MA),Empregador,3º trimestre 2015,9.0
São Luís (MA),Empregador,4º trimestre 2015,8.0
São Luís (MA),Empregador,1º trimestre 2016,6.0
São Luís (MA),Empregador,2º trimestre 2016,10.0
São Luís (MA),Empregador,3º trimestre 2016,8.0
São Luís (MA),Empregador,4º trimestre 2016,12.0
São Luís (MA),Empregador,1º trimestre 2017,15.0
São Luís (MA),Empregador,2º trimestre 2017,10.0
São Luís (MA),Empregador,3º trimestre 2017,10.0
São Luís (MA),Empregador,4º trimestre 2017,9.0
São Luís (MA),Empregador,1º trimestre 2018,7.0
São Luís (MA),Empregador,2º trimestre 2018,18.0
São Luís (MA),Empregador,3º trimestre 2018,6.0
São Luís (MA),Empregador,4º trimestre 2018,12.0
São Luís (MA),Empregador,1º trimestre 2019,11.0
São Luís (MA),Empregador,2º trimestre 2019,14.0
São Luís (MA),Empregador,3º trimestre 2019,15.0
São Luís (MA),Empregador,4º trimestre 2019,16.0
São Luís (MA),Empregador,1º trimestre 2020,10.0
São Luís (MA),Empregador,2º trimestre 2020,0.0
São Luís (MA),Empregador,3º trimestre 2020,0.0
São Luís (MA),Empregador,4º trimestre 2020,0.0
São Luís (MA),Empregador,1º trimestre 2021,0.0
São Luís (MA),Empregador,2º trimestre 2021,0.0
São Luís (MA),Empregador,3º trimestre 2021,0.0
São Luís (MA),Empregador,4º trimestre 2021,0.0
São Luís (MA),Empregador,1º trimestre 2022,0.0
São Luís (MA),Empregador,2º trimestre 2022,12.0
São Luís (MA),Empregador,3º trimestre 2022,18.0
São Luís (MA),Empregador,4º trimestre 2022,17.0
São Luís (MA),Empregador,1º trimestre 2023,16.0
São Luís (MA),Empregador,2º trimestre 2023,12.0
São Luís (MA),Empregador,3º trimestre 2023,7.0
São Luís (MA),Empregador,4º trimestre 2023,13.0
São Luís (MA),Empregador,1º trimestre 2024,14.0
São Luís (MA),Empregador,2º trimestre 2024,13.0
São Luís (MA),Empregador,3º trimestre 2024,17.0
São Luís (MA),Empregador,4º trimestre 2024,10.0
São Luís (MA),Conta própria,1º trimestre 2012,98.0
São Luís (MA),Conta própria,2º trimestre 2012,98.0
São Luís (MA),Conta própria,3º trimestre 2012,112.0
São Luís (MA),Conta própria,4º trimestre 2012,109.0
São Luís (MA),Conta própria,1º trimestre 2013,106.0
São Luís (MA),Conta própria,2º trimestre 2013,115.0
São Luís (MA),Conta própria,3º trimestre 2013,113.0
São Luís (MA),Conta própria,4º trimestre 2013,127.0
São Luís (MA),Conta própria,1º trimestre 2014,120.0
São Luís (MA),Conta própria,2º trimestre 2014,131.0
São Luís (MA),Conta própria,3º trimestre 2014,123.0
São Luís (MA),Conta própria,4º trimestre 2014,126.0
São Luís (MA),Conta própria,1º trimestre 2015,117.0
São Luís (MA),Conta própria,2º trimestre 2015,113.0
São Luís (MA),Conta própria,3º trimestre 2015,114.0
São Luís (MA),Conta própria,4º trimestre 2015,135.0
São Luís (MA),Conta própria,1º trimestre 2016,140.0
São Luís (MA),Conta própria,2º trimestre 2016,133.0
São Luís (MA),Conta própria,3º trimestre 2016,137.0
São Luís (MA),Conta própria,4º trimestre 2016,132.0
São Luís (MA),Conta própria,1º trimestre 2017,130.0
São Luís (MA),Conta própria,2º trimestre 2017,116.0
São Luís (MA),Conta própria,3º trimestre 2017,121.0
São Luís (MA),Conta própria,4º trimestre 2017,126.0
São Luís (MA),Conta própria,1º trimestre 2018,125.0
São Luís (MA),Conta própria,2º trimestre 2018,118.0
São Luís (MA),Conta própria,3º trimestre 2018,126.0
São Luís (MA),Conta própria,4º trimestre 2018,139.0
São Luís (MA),Conta própria,1º trimestre 2019,134.0
São Luís (MA),Conta própria,2º trimestre 2019,144.0
São Luís (MA),Conta própria,3º trimestre 2019,145.0
São Luís (MA),Conta própria,4º trimestre 2019,166.0
São Luís (MA),Conta própria,1º trimestre 2020,166.0
São Luís (MA),Conta própria,2º trimestre 2020,0.0
São Luís (MA),Conta própria,3º trimestre 2020,0.0
São Luís (MA),Conta própria,4º trimestre 2020,0.0
São Luís (MA),Conta própria,1º trimestre 2021,0.0
São Luís (MA),Conta própria,2º trimestre 2021,0.0
São Luís (MA),Conta própria,3º trimestre 2021,0.0
São Luís (MA),Conta própria,4º trimestre 2021,0.0
São Luís (MA),Conta própria,1º trimestre 2022,0.0
São Luís (MA),Conta própria,2º trimestre 2022,127.0
São Luís (MA),Conta própria,3º trimestre 2022,140.0
São Luís (MA),Conta própria,4º trimestre 2022,147.0
São Luís (MA),Conta própria,1º trimestre 2023,149.0
São Luís (MA),Conta própria,2º trimestre 2023,151.0
São Luís (MA),Conta própria,3º trimestre 2023,168.0
São Luís (MA),Conta própria,4º trimestre 2023,156.0
São Luís (MA),Conta própria,1º trimestre 2024,148.0
São Luís (MA),Conta própria,2º trimestre 2024,154.0
São Luís (MA),Conta própria,3º trimestre 2024,142.0
São Luís (MA),Conta própria,4º trimestre 2024,139.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2012,1.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2012,3.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2012,4.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2012,3.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2013,3.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2013,3.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2013,4.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2013,2.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2014,1.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2014,1.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2014,2.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2014,1.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2015,2.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2015,1.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2015,2.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2015,2.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2016,1.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2016,2.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2016,2.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2016,0.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2017,0.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2017,3.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2017,3.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2017,0.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2018,1.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2018,2.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2018,2.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2018,6.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2019,4.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2019,3.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2019,1.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2019,5.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2020,7.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2020,0.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2020,0.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2020,0.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2021,0.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2021,0.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2021,0.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2021,0.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2022,0.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2022,2.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2022,6.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2022,5.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2023,2.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2023,5.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2023,8.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2023,6.0
São Luís (MA),Trabalhador familiar auxiliar,1º trimestre 2024,2.0
São Luís (MA),Trabalhador familiar auxiliar,2º trimestre 2024,8.0
São Luís (MA),Trabalhador familiar auxiliar,3º trimestre 2024,4.0
São Luís (MA),Trabalhador familiar auxiliar,4º trimestre 2024,2.0
Teresina (PI),Empregado,1º trimestre 2012,281.0
Teresina (PI),Empregado,2º trimestre 2012,281.0
Teresina (PI),Empregado,3º trimestre 2012,285.0
Teresina (PI),Empregado,4º trimestre 2012,280.0
Teresina (PI),Empregado,1º trimestre 2013,283.0
Teresina (PI),Empregado,2º trimestre 2013,293.0
Teresina (PI),Empregado,3º trimestre 2013,299.0
Teresina (PI),Empregado,4º trimestre 2013,308.0
Teresina (PI),Empregado,1º trimestre 2014,311.0
Teresina (PI),Empregado,2º trimestre 2014,303.0
Teresina (PI),Empregado,3º trimestre 2014,301.0
Teresina (PI),Empregado,4º trimestre 2014,297.0
Teresina (PI),Empregado,1º trimestre 2015,290.0
Teresina (PI),Empregado,2º trimestre 2015,288.0
Teresina (PI),Empregado,3º trimestre 2015,301.0
Teresina (PI),Empregado,4º trimestre 2015,298.0
Teresina (PI),Empregado,1º trimestre 2016,295.0
Teresina (PI),Empregado,2º trimestre 2016,292.0
Teresina (PI),Empregado,3º trimestre 2016,297.0
Teresina (PI),Empregado,4º trimestre 2016,281.0
Teresina (PI),Empregado,1º trimestre 2017,276.0
Teresina (PI),Empregado,2º trimestre 2017,272.0
Teresina (PI),Empregado,3º trimestre 2017,278.0
Teresina (PI),Empregado,4º trimestre 2017,267.0
Teresina (PI),Empregado,1º trimestre 2018,266.0
Teresina (PI),Empregado,2º trimestre 2018,272.0
Teresina (PI),Empregado,3º trimestre 2018,258.0
Teresina (PI),Empregado,4º trimestre 2018,258.0
Teresina (PI),Empregado,1º trimestre 2019,259.0
Teresina (PI),Empregado,2º trimestre 2019,259.0
Teresina (PI),Empregado,3º trimestre 2019,263.0
Teresina (PI),Empregado,4º trimestre 2019,267.0
Teresina (PI),Empregado,1º trimestre 2020,244.0
Teresina (PI),Empregado,2º trimestre 2020,0.0
Teresina (PI),Empregado,3º trimestre 2020,0.0
Teresina (PI),Empregado,4º trimestre 2020,0.0
Teresina (PI),Empregado,1º trimestre 2021,0.0
Teresina (PI),Empregado,2º trimestre 2021,0.0
Teresina (PI),Empregado,3º trimestre 2021,0.0
Teresina (PI),Empregado,4º trimestre 2021,0.0
Teresina (PI),Empregado,1º trimestre 2022,0.0
Teresina (PI),Empregado,2º trimestre 2022,291.0
Teresina (PI),Empregado,3º trimestre 2022,302.0
Teresina (PI),Empregado,4º trimestre 2022,294.0
Teresina (PI),Empregado,1º trimestre 2023,290.0
Teresina (PI),Empregado,2º trimestre 2023,281.0
Teresina (PI),Empregado,3º trimestre 2023,288.0
Teresina (PI),Empregado,4º trimestre 2023,273.0
Teresina (PI),Empregado,1º trimestre 2024,294.0
Teresina (PI),Empregado,2º trimestre 2024,281.0
Teresina (PI),Empregado,3º trimestre 2024,289.0
Teresina (PI),Empregado,4º trimestre 2024,284.0
Teresina (PI),Empregador,1º trimestre 2012,15.0
Teresina (PI),Empregador,2º trimestre 2012,15.0
Teresina (PI),Empregador,3º trimestre 2012,17.0
Teresina (PI),Empregador,4º trimestre 2012,16.0
Teresina (PI),Empregador,1º trimestre 2013,16.0
Teresina (PI),Empregador,2º trimestre 2013,20.0
Teresina (PI),Empregador,3º trimestre 2013,21.0
Teresina (PI),Empregador,4º trimestre 2013,19.0
Teresina (PI),Empregador,1º trimestre 2014,19.0
Teresina (PI),Empregador,2º trimestre 2014,19.0
