municipio,trimestre,Condição de ocupação,quantidade de condição de ocupação
São Luís (MA),3º trimestre 2012,Fora da força de trabalho,312
São Luís (MA),4º trimestre 2012,Força de trabalho,501
São Luís (MA),4º trimestre 2012,Força de trabalho - ocupada,438
São Luís (MA),4º trimestre 2012,Força de trabalho - desocupada,62
São Luís (MA),4º trimestre 2012,Fora da força de trabalho,338
São Luís (MA),1º trimestre 2013,Força de trabalho,500
São Luís (MA),1º trimestre 2013,Força de trabalho - ocupada,429
São Luís (MA),1º trimestre 2013,Força de trabalho - desocupada,71
São Luís (MA),1º trimestre 2013,Fora da força de trabalho,333
São Luís (MA),2º trimestre 2013,Força de trabalho,506
São Luís (MA),2º trimestre 2013,Força de trabalho - ocupada,431
São Luís (MA),2º trimestre 2013,Força de trabalho - desocupada,75
São Luís (MA),2º trimestre 2013,Fora da força de trabalho,330
São Luís (MA),3º trimestre 2013,Força de trabalho,485
São Luís (MA),3º trimestre 2013,Força de trabalho - ocupada,433
São Luís (MA),3º trimestre 2013,Força de trabalho - desocupada,52
São Luís (MA),3º trimestre 2013,Fora da força de trabalho,353
São Luís (MA),4º trimestre 2013,Força de trabalho,485
São Luís (MA),4º trimestre 2013,Força de trabalho - ocupada,453
São Luís (MA),4º trimestre 2013,Força de trabalho - desocupada,33
São Luís (MA),4º trimestre 2013,Fora da força de trabalho,352
São Luís (MA),1º trimestre 2014,Força de trabalho,492
São Luís (MA),1º trimestre 2014,Força de trabalho - ocupada,451
São Luís (MA),1º trimestre 2014,Força de trabalho - desocupada,41
São Luís (MA),1º trimestre 2014,Fora da força de trabalho,357
São Luís (MA),2º trimestre 2014,Força de trabalho,520
São Luís (MA),2º trimestre 2014,Força de trabalho - ocupada,476
São Luís (MA),2º trimestre 2014,Força de trabalho - desocupada,45
São Luís (MA),2º trimestre 2014,Fora da força de trabalho,327
São Luís (MA),3º trimestre 2014,Força de trabalho,523
São Luís (MA),3º trimestre 2014,Força de trabalho - ocupada,474
São Luís (MA),3º trimestre 2014,Força de trabalho - desocupada,49
São Luís (MA),3º trimestre 2014,Fora da força de trabalho,321
São Luís (MA),4º trimestre 2014,Força de trabalho,519
São Luís (MA),4º trimestre 2014,Força de trabalho - ocupada,459
São Luís (MA),4º trimestre 2014,Força de trabalho - desocupada,59
São Luís (MA),4º trimestre 2014,Fora da força de trabalho,326
São Luís (MA),1º trimestre 2015,Força de trabalho,520
São Luís (MA),1º trimestre 2015,Força de trabalho - ocupada,448
São Luís (MA),1º trimestre 2015,Força de trabalho - desocupada,71
São Luís (MA),1º trimestre 2015,Fora da força de trabalho,331
São Luís (MA),2º trimestre 2015,Força de trabalho,507
São Luís (MA),2º trimestre 2015,Força de trabalho - ocupada,434
São Luís (MA),2º trimestre 2015,Força de trabalho - desocupada,73
São Luís (MA),2º trimestre 2015,Fora da força de trabalho,339
São Luís (MA),3º trimestre 2015,Força de trabalho,532
São Luís (MA),3º trimestre 2015,Força de trabalho - ocupada,453
São Luís (MA),3º trimestre 2015,Força de trabalho - desocupada,79
São Luís (MA),3º trimestre 2015,Fora da força de trabalho,321
São Luís (MA),4º trimestre 2015,Força de trabalho,544
São Luís (MA),4º trimestre 2015,Força de trabalho - ocupada,469
São Luís (MA),4º trimestre 2015,Força de trabalho - desocupada,75
São Luís (MA),4º trimestre 2015,Fora da força de trabalho,318
São Luís (MA),1º trimestre 2016,Força de trabalho,547
São Luís (MA),1º trimestre 2016,Força de trabalho - ocupada,454
São Luís (MA),1º trimestre 2016,Força de trabalho - desocupada,93
São Luís (MA),1º trimestre 2016,Fora da força de trabalho,311
São Luís (MA),2º trimestre 2016,Força de trabalho,545
São Luís (MA),2º trimestre 2016,Força de trabalho - ocupada,454
São Luís (MA),2º trimestre 2016,Força de trabalho - desocupada,91
São Luís (MA),2º trimestre 2016,Fora da força de trabalho,313
São Luís (MA),3º trimestre 2016,Força de trabalho,538
São Luís (MA),3º trimestre 2016,Força de trabalho - ocupada,451
São Luís (MA),3º trimestre 2016,Força de trabalho - desocupada,87
São Luís (MA),3º trimestre 2016,Fora da força de trabalho,327
São Luís (MA),4º trimestre 2016,Força de trabalho,545
São Luís (MA),4º trimestre 2016,Força de trabalho - ocupada,447
São Luís (MA),4º trimestre 2016,Força de trabalho - desocupada,98
São Luís (MA),4º trimestre 2016,Fora da força de trabalho,323
São Luís (MA),1º trimestre 2017,Força de trabalho,554
São Luís (MA),1º trimestre 2017,Força de trabalho - ocupada,445
São Luís (MA),1º trimestre 2017,Força de trabalho - desocupada,109
São Luís (MA),1º trimestre 2017,Fora da força de trabalho,309
São Luís (MA),2º trimestre 2017,Força de trabalho,536
São Luís (MA),2º trimestre 2017,Força de trabalho - ocupada,428
São Luís (MA),2º trimestre 2017,Força de trabalho - desocupada,108
São Luís (MA),2º trimestre 2017,Fora da força de trabalho,332
São Luís (MA),3º trimestre 2017,Força de trabalho,543
São Luís (MA),3º trimestre 2017,Força de trabalho - ocupada,445
São Luís (MA),3º trimestre 2017,Força de trabalho - desocupada,98
São Luís (MA),3º trimestre 2017,Fora da força de trabalho,323
São Luís (MA),4º trimestre 2017,Força de trabalho,544
São Luís (MA),4º trimestre 2017,Força de trabalho - ocupada,434
São Luís (MA),4º trimestre 2017,Força de trabalho - desocupada,110
São Luís (MA),4º trimestre 2017,Fora da força de trabalho,326
São Luís (MA),1º trimestre 2018,Força de trabalho,535
São Luís (MA),1º trimestre 2018,Força de trabalho - ocupada,430
São Luís (MA),1º trimestre 2018,Força de trabalho - desocupada,105
São Luís (MA),1º trimestre 2018,Fora da força de trabalho,339
São Luís (MA),2º trimestre 2018,Força de trabalho,515
São Luís (MA),2º trimestre 2018,Força de trabalho - ocupada,432
São Luís (MA),2º trimestre 2018,Força de trabalho - desocupada,83
São Luís (MA),2º trimestre 2018,Fora da força de trabalho,366
São Luís (MA),3º trimestre 2018,Força de trabalho,517
São Luís (MA),3º trimestre 2018,Força de trabalho - ocupada,440
São Luís (MA),3º trimestre 2018,Força de trabalho - desocupada,77
São Luís (MA),3º trimestre 2018,Fora da força de trabalho,362
São Luís (MA),4º trimestre 2018,Força de trabalho,559
São Luís (MA),4º trimestre 2018,Força de trabalho - ocupada,468
São Luís (MA),4º trimestre 2018,Força de trabalho - desocupada,91
São Luís (MA),4º trimestre 2018,Fora da força de trabalho,332
São Luís (MA),1º trimestre 2019,Força de trabalho,542
São Luís (MA),1º trimestre 2019,Força de trabalho - ocupada,443
São Luís (MA),1º trimestre 2019,Força de trabalho - desocupada,99
São Luís (MA),1º trimestre 2019,Fora da força de trabalho,343
São Luís (MA),2º trimestre 2019,Força de trabalho,559
São Luís (MA),2º trimestre 2019,Força de trabalho - ocupada,460
São Luís (MA),2º trimestre 2019,Força de trabalho - desocupada,99
São Luís (MA),2º trimestre 2019,Fora da força de trabalho,326
São Luís (MA),3º trimestre 2019,Força de trabalho,558
São Luís (MA),3º trimestre 2019,Força de trabalho - ocupada,468
São Luís (MA),3º trimestre 2019,Força de trabalho - desocupada,89
São Luís (MA),3º trimestre 2019,Fora da força de trabalho,327
São Luís (MA),4º trimestre 2019,Força de trabalho,577
São Luís (MA),4º trimestre 2019,Força de trabalho - ocupada,502
São Luís (MA),4º trimestre 2019,Força de trabalho - desocupada,75
São Luís (MA),4º trimestre 2019,Fora da força de trabalho,306
São Luís (MA),1º trimestre 2020,Força de trabalho,571
São Luís (MA),1º trimestre 2020,Força de trabalho - ocupada,479
São Luís (MA),1º trimestre 2020,Força de trabalho - desocupada,92
São Luís (MA),1º trimestre 2020,Fora da força de trabalho,313
São Luís (MA),2º trimestre 2020,Força de trabalho,0
São Luís (MA),2º trimestre 2020,Força de trabalho - ocupada,0
São Luís (MA),2º trimestre 2020,Força de trabalho - desocupada,0
São Luís (MA),2º trimestre 2020,Fora da força de trabalho,0
São Luís (MA),3º trimestre 2020,Força de trabalho,0
São Luís (MA),3º trimestre 2020,Força de trabalho - ocupada,0
São Luís (MA),3º trimestre 2020,Força de trabalho - desocupada,0
São Luís (MA),3º trimestre 2020,Fora da força de trabalho,0
São Luís (MA),4º trimestre 2020,Força de trabalho,0
São Luís (MA),4º trimestre 2020,Força de trabalho - ocupada,0
São Luís (MA),4º trimestre 2020,Força de trabalho - desocupada,0
São Luís (MA),4º trimestre 2020,Fora da força de trabalho,0
São Luís (MA),1º trimestre 2021,Força de trabalho,0
São Luís (MA),1º trimestre 2021,Força de trabalho - ocupada,0
São Luís (MA),1º trimestre 2021,Força de trabalho - desocupada,0
São Luís (MA),1º trimestre 2021,Fora da força de trabalho,0
São Luís (MA),2º trimestre 2021,Força de trabalho,0
São Luís (MA),2º trimestre 2021,Força de trabalho - ocupada,0
São Luís (MA),2º trimestre 2021,Força de trabalho - desocupada,0
São Luís (MA),2º trimestre 2021,Fora da força de trabalho,0
São Luís (MA),3º trimestre 2021,Força de trabalho,0
São Luís (MA),3º trimestre 2021,Força de trabalho - ocupada,0
São Luís (MA),3º trimestre 2021,Força de trabalho - desocupada,0
São Luís (MA),3º trimestre 2021,Fora da força de trabalho,0
São Luís (MA),4º trimestre 2021,Força de trabalho,0
São Luís (MA),4º trimestre 2021,Força de trabalho - ocupada,0
São Luís (MA),4º trimestre 2021,Força de trabalho - desocupada,0
São Luís (MA),4º trimestre 2021,Fora da força de trabalho,0
São Luís (MA),1º trimestre 2022,Força de trabalho,0
São Luís (MA),1º trimestre 2022,Força de trabalho - ocupada,0
São Luís (MA),1º trimestre 2022,Força de trabalho - desocupada,0
São Luís (MA),1º trimestre 2022,Fora da força de trabalho,0
São Luís (MA),2º trimestre 2022,Força de trabalho,562
São Luís (MA),2º trimestre 2022,Força de trabalho - ocupada,492
São Luís (MA),2º trimestre 2022,Força de trabalho - desocupada,70
São Luís (MA),2º trimestre 2022,Fora da força de trabalho,365
São Luís (MA),3º trimestre 2022,Força de trabalho,573
São Luís (MA),3º trimestre 2022,Força de trabalho - ocupada,502
São Luís (MA),3º trimestre 2022,Força de trabalho - desocupada,71
São Luís (MA),3º trimestre 2022,Fora da força de trabalho,357
São Luís (MA),4º trimestre 2022,Força de trabalho,580
São Luís (MA),4º trimestre 2022,Força de trabalho - ocupada,517
São Luís (MA),4º trimestre 2022,Força de trabalho - desocupada,64
São Luís (MA),4º trimestre 2022,Fora da força de trabalho,355
São Luís (MA),1º trimestre 2023,Força de trabalho,579
São Luís (MA),1º trimestre 2023,Força de trabalho - ocupada,510
São Luís (MA),1º trimestre 2023,Força de trabalho - desocupada,69
São Luís (MA),1º trimestre 2023,Fora da força de trabalho,368
São Luís (MA),2º trimestre 2023,Força de trabalho,557
São Luís (MA),2º trimestre 2023,Força de trabalho - ocupada,489
São Luís (MA),2º trimestre 2023,Força de trabalho - desocupada,67
São Luís (MA),2º trimestre 2023,Fora da força de trabalho,375
São Luís (MA),3º trimestre 2023,Força de trabalho,568
São Luís (MA),3º trimestre 2023,Força de trabalho - ocupada,517
São Luís (MA),3º trimestre 2023,Força de trabalho - desocupada,51
São Luís (MA),3º trimestre 2023,Fora da força de trabalho,365
São Luís (MA),4º trimestre 2023,Força de trabalho,593
São Luís (MA),4º trimestre 2023,Força de trabalho - ocupada,540
São Luís (MA),4º trimestre 2023,Força de trabalho - desocupada,53
São Luís (MA),4º trimestre 2023,Fora da força de trabalho,350
São Luís (MA),1º trimestre 2024,Força de trabalho,563
São Luís (MA),1º trimestre 2024,Força de trabalho - ocupada,503
São Luís (MA),1º trimestre 2024,Força de trabalho - desocupada,60
São Luís (MA),1º trimestre 2024,Fora da força de trabalho,366
São Luís (MA),2º trimestre 2024,Força de trabalho,570
São Luís (MA),2º trimestre 2024,Força de trabalho - ocupada,522
São Luís (MA),2º trimestre 2024,Força de trabalho - desocupada,48
São Luís (MA),2º trimestre 2024,Fora da força de trabalho,370
São Luís (MA),3º trimestre 2024,Força de trabalho,567
São Luís (MA),3º trimestre 2024,Força de trabalho - ocupada,510
São Luís (MA),3º trimestre 2024,Força de trabalho - desocupada,57
São Luís (MA),3º trimestre 2024,Fora da força de trabalho,362
São Luís (MA),4º trimestre 2024,Força de trabalho,550
São Luís (MA),4º trimestre 2024,Força de trabalho - ocupada,501
São Luís (MA),4º trimestre 2024,Força de trabalho - desocupada,49
São Luís (MA),4º trimestre 2024,Fora da força de trabalho,382
Teresina (PI),1º trimestre 2012,Força de trabalho,420
Teresina (PI),1º trimestre 2012,Força de trabalho - ocupada,377
Teresina (PI),1º trimestre 2012,Força de trabalho - desocupada,42
Teresina (PI),1º trimestre 2012,Fora da força de trabalho,231
Teresina (PI),2º trimestre 2012,Força de trabalho,410
Teresina (PI),2º trimestre 2012,Força de trabalho - ocupada,375
Teresina (PI),2º trimestre 2012,Força de trabalho - desocupada,35
Teresina (PI),2º trimestre 2012,Fora da força de trabalho,250
Teresina (PI),3º trimestre 2012,Força de trabalho,418
Teresina (PI),3º trimestre 2012,Força de trabalho - ocupada,383
Teresina (PI),3º trimestre 2012,Força de trabalho - desocupada,36
Teresina (PI),3º trimestre 2012,Fora da força de trabalho,239
Teresina (PI),4º trimestre 2012,Força de trabalho,417
Teresina (PI),4º trimestre 2012,Força de trabalho - ocupada,380
Teresina (PI),4º trimestre 2012,Força de trabalho - desocupada,37
Teresina (PI),4º trimestre 2012,Fora da força de trabalho,238
Teresina (PI),1º trimestre 2013,Força de trabalho,432
Teresina (PI),1º trimestre 2013,Força de trabalho - ocupada,384
Teresina (PI),1º trimestre 2013,Força de trabalho - desocupada,48
Teresina (PI),1º trimestre 2013,Fora da força de trabalho,230
Teresina (PI),2º trimestre 2013,Força de trabalho,446
Teresina (PI),2º trimestre 2013,Força de trabalho - ocupada,401
Teresina (PI),2º trimestre 2013,Força de trabalho - desocupada,44
Teresina (PI),2º trimestre 2013,Fora da força de trabalho,221
Teresina (PI),3º trimestre 2013,Força de trabalho,440
Teresina (PI),3º trimestre 2013,Força de trabalho - ocupada,397
Teresina (PI),3º trimestre 2013,Força de trabalho - desocupada,42
Teresina (PI),3º trimestre 2013,Fora da força de trabalho,227
Teresina (PI),4º trimestre 2013,Força de trabalho,454
Teresina (PI),4º trimestre 2013,Força de trabalho - ocupada,411
Teresina (PI),4º trimestre 2013,Força de trabalho - desocupada,43
Teresina (PI),4º trimestre 2013,Fora da força de trabalho,213
Teresina (PI),1º trimestre 2014,Força de trabalho,460
Teresina (PI),1º trimestre 2014,Força de trabalho - ocupada,417
Teresina (PI),1º trimestre 2014,Força de trabalho - desocupada,42
Teresina (PI),1º trimestre 2014,Fora da força de trabalho,206
Teresina (PI),2º trimestre 2014,Força de trabalho,447
Teresina (PI),2º trimestre 2014,Força de trabalho - ocupada,411
Teresina (PI),2º trimestre 2014,Força de trabalho - desocupada,36
Teresina (PI),2º trimestre 2014,Fora da força de trabalho,212
Teresina (PI),3º trimestre 2014,Força de trabalho,439
Teresina (PI),3º trimestre 2014,Força de trabalho - ocupada,407
Teresina (PI),3º trimestre 2014,Força de trabalho - desocupada,32
Teresina (PI),3º trimestre 2014,Fora da força de trabalho,219
Teresina (PI),4º trimestre 2014,Força de trabalho,447
Teresina (PI),4º trimestre 2014,Força de trabalho - ocupada,411
Teresina (PI),4º trimestre 2014,Força de trabalho - desocupada,35
Teresina (PI),4º trimestre 2014,Fora da força de trabalho,212
Teresina (PI),1º trimestre 2015,Força de trabalho,444
Teresina (PI),1º trimestre 2015,Força de trabalho - ocupada,397
Teresina (PI),1º trimestre 2015,Força de trabalho - desocupada,47
Teresina (PI),1º trimestre 2015,Fora da força de trabalho,209
Teresina (PI),2º trimestre 2015,Força de trabalho,437
Teresina (PI),2º trimestre 2015,Força de trabalho - ocupada,391
Teresina (PI),2º trimestre 2015,Força de trabalho - desocupada,47
Teresina (PI),2º trimestre 2015,Fora da força de trabalho,219
Teresina (PI),3º trimestre 2015,Força de trabalho,437
Teresina (PI),3º trimestre 2015,Força de trabalho - ocupada,398
Teresina (PI),3º trimestre 2015,Força de trabalho - desocupada,39
Teresina (PI),3º trimestre 2015,Fora da força de trabalho,223
Teresina (PI),4º trimestre 2015,Força de trabalho,436
Teresina (PI),4º trimestre 2015,Força de trabalho - ocupada,402
Teresina (PI),4º trimestre 2015,Força de trabalho - desocupada,34
Teresina (PI),4º trimestre 2015,Fora da força de trabalho,234
Teresina (PI),1º trimestre 2016,Força de trabalho,441
Teresina (PI),1º trimestre 2016,Força de trabalho - ocupada,399
Teresina (PI),1º trimestre 2016,Força de trabalho - desocupada,41
Teresina (PI),1º trimestre 2016,Fora da força de trabalho,231
Teresina (PI),2º trimestre 2016,Força de trabalho,452
Teresina (PI),2º trimestre 2016,Força de trabalho - ocupada,408
Teresina (PI),2º trimestre 2016,Força de trabalho - desocupada,44
Teresina (PI),2º trimestre 2016,Fora da força de trabalho,226
Teresina (PI),3º trimestre 2016,Força de trabalho,446
Teresina (PI),3º trimestre 2016,Força de trabalho - ocupada,415
Teresina (PI),3º trimestre 2016,Força de trabalho - desocupada,31
Teresina (PI),3º trimestre 2016,Fora da força de trabalho,241
Teresina (PI),4º trimestre 2016,Força de trabalho,439
Teresina (PI),4º trimestre 2016,Força de trabalho - ocupada,403
Teresina (PI),4º trimestre 2016,Força de trabalho - desocupada,37
Teresina (PI),4º trimestre 2016,Fora da força de trabalho,247
Teresina (PI),1º trimestre 2017,Força de trabalho,439
Teresina (PI),1º trimestre 2017,Força de trabalho - ocupada,386
Teresina (PI),1º trimestre 2017,Força de trabalho - desocupada,53
Teresina (PI),1º trimestre 2017,Fora da força de trabalho,241
Teresina (PI),2º trimestre 2017,Força de trabalho,457
Teresina (PI),2º trimestre 2017,Força de trabalho - ocupada,397
Teresina (PI),2º trimestre 2017,Força de trabalho - desocupada,59
Teresina (PI),2º trimestre 2017,Fora da força de trabalho,231
Teresina (PI),3º trimestre 2017,Força de trabalho,455
Teresina (PI),3º trimestre 2017,Força de trabalho - ocupada,406
Teresina (PI),3º trimestre 2017,Força de trabalho - desocupada,49
Teresina (PI),3º trimestre 2017,Fora da força de trabalho,232
Teresina (PI),4º trimestre 2017,Força de trabalho,462
Teresina (PI),4º trimestre 2017,Força de trabalho - ocupada,399
Teresina (PI),4º trimestre 2017,Força de trabalho - desocupada,63
Teresina (PI),4º trimestre 2017,Fora da força de trabalho,230
Teresina (PI),1º trimestre 2018,Força de trabalho,461
Teresina (PI),1º trimestre 2018,Força de trabalho - ocupada,394
Teresina (PI),1º trimestre 2018,Força de trabalho - desocupada,67
Teresina (PI),1º trimestre 2018,Fora da força de trabalho,236
Teresina (PI),2º trimestre 2018,Força de trabalho,453
Teresina (PI),2º trimestre 2018,Força de trabalho - ocupada,394
Teresina (PI),2º trimestre 2018,Força de trabalho - desocupada,59
Teresina (PI),2º trimestre 2018,Fora da força de trabalho,246
Teresina (PI),3º trimestre 2018,Força de trabalho,441
Teresina (PI),3º trimestre 2018,Força de trabalho - ocupada,382
Teresina (PI),3º trimestre 2018,Força de trabalho - desocupada,59
Teresina (PI),3º trimestre 2018,Fora da força de trabalho,249
Teresina (PI),4º trimestre 2018,Força de trabalho,444
Teresina (PI),4º trimestre 2018,Força de trabalho - ocupada,385
Teresina (PI),4º trimestre 2018,Força de trabalho - desocupada,59
Teresina (PI),4º trimestre 2018,Fora da força de trabalho,244
Teresina (PI),1º trimestre 2019,Força de trabalho,438
Teresina (PI),1º trimestre 2019,Força de trabalho - ocupada,379
Teresina (PI),1º trimestre 2019,Força de trabalho - desocupada,60
Teresina (PI),1º trimestre 2019,Fora da força de trabalho,247
Teresina (PI),2º trimestre 2019,Força de trabalho,453
Teresina (PI),2º trimestre 2019,Força de trabalho - ocupada,388
Teresina (PI),2º trimestre 2019,Força de trabalho - desocupada,66
Teresina (PI),2º trimestre 2019,Fora da força de trabalho,236
Teresina (PI),3º trimestre 2019,Força de trabalho,466
Teresina (PI),3º trimestre 2019,Força de trabalho - ocupada,401
Teresina (PI),3º trimestre 2019,Força de trabalho - desocupada,65
Teresina (PI),3º trimestre 2019,Fora da força de trabalho,233
Teresina (PI),4º trimestre 2019,Força de trabalho,463
Teresina (PI),4º trimestre 2019,Força de trabalho - ocupada,392
Teresina (PI),4º trimestre 2019,Força de trabalho - desocupada,71
Teresina (PI),4º trimestre 2019,Fora da força de trabalho,248
Teresina (PI),1º trimestre 2020,Força de trabalho,450
Teresina (PI),1º trimestre 2020,Força de trabalho - ocupada,378
Teresina (PI),1º trimestre 2020,Força de trabalho - desocupada,72
Teresina (PI),1º trimestre 2020,Fora da força de trabalho,243
Teresina (PI),2º trimestre 2020,Força de trabalho,0
Teresina (PI),2º trimestre 2020,Força de trabalho - ocupada,0
Teresina (PI),2º trimestre 2020,Força de trabalho - desocupada,0
Teresina (PI),2º trimestre 2020,Fora da força de trabalho,0
Teresina (PI),3º trimestre 2020,Força de trabalho,0
Teresina (PI),3º trimestre 2020,Força de trabalho - ocupada,0
Teresina (PI),3º trimestre 2020,Força de trabalho - desocupada,0
Teresina (PI),3º trimestre 2020,Fora da força de trabalho,0
Teresina (PI),4º trimestre 2020,Força de trabalho,0
Teresina (PI),4º trimestre 2020,Força de trabalho - ocupada,0
Teresina (PI),4º trimestre 2020,Força de trabalho - desocupada,0
Teresina (PI),4º trimestre 2020,Fora da força de trabalho,0
Teresina (PI),1º trimestre 2021,Força de trabalho,0
Teresina (PI),1º trimestre 2021,Força de trabalho - ocupada,0
Teresina (PI),1º trimestre 2021,Força de trabalho - desocupada,0
Teresina (PI),1º trimestre 2021,Fora da força de trabalho,0
Teresina (PI),2º trimestre 2021,Força de trabalho,0
Teresina (PI),2º trimestre 2021,Força de trabalho - ocupada,0
Teresina (PI),2º trimestre 2021,Força de trabalho - desocupada,0
Teresina (PI),2º trimestre 2021,Fora da força de trabalho,0
Teresina (PI),3º trimestre 2021,Força de trabalho,0
Teresina (PI),3º trimestre 2021,Força de trabalho - ocupada,0
Teresina (PI),3º trimestre 2021,Força de trabalho - desocupada,0
Teresina (PI),3º trimestre 2021,Fora da força de trabalho,0
Teresina (PI),4º trimestre 2021,Força de trabalho,0
Teresina (PI),4º trimestre 2021,Força de trabalho - ocupada,0
Teresina (PI),4º trimestre 2021,Força de trabalho - desocupada,0
Teresina (PI),4º trimestre 2021,Fora da força de trabalho,0
Teresina (PI),1º trimestre 2022,Força de trabalho,0
Teresina (PI),1º trimestre 2022,Força de trabalho - ocupada,0
Teresina (PI),1º trimestre 2022,Força de trabalho - desocupada,0
Teresina (PI),1º trimestre 2022,Fora da força de trabalho,0
Teresina (PI),2º trimestre 2022,Força de trabalho,464
Teresina (PI),2º trimestre 2022,Força de trabalho - ocupada,423
Teresina (PI),2º trimestre 2022,Força de trabalho - desocupada,41
Teresina (PI),2º trimestre 2022,Fora da força de trabalho,251
Teresina (PI),3º trimestre 2022,Força de trabalho,481
Teresina (PI),3º trimestre 2022,Força de trabalho - ocupada,434
Teresina (PI),3º trimestre 2022,Força de trabalho - desocupada,47
Teresina (PI),3º trimestre 2022,Fora da força de trabalho,248
Teresina (PI),4º trimestre 2022,Força de trabalho,464
Teresina (PI),4º trimestre 2022,Força de trabalho - ocupada,424
Teresina (PI),4º trimestre 2022,Força de trabalho - desocupada,41
Teresina (PI),4º trimestre 2022,Fora da força de trabalho,261
Teresina (PI),1º trimestre 2023,Força de trabalho,468
Teresina (PI),1º trimestre 2023,Força de trabalho - ocupada,430
Teresina (PI),1º trimestre 2023,Força de trabalho - desocupada,39
Teresina (PI),1º trimestre 2023,Fora da força de trabalho,254
Teresina (PI),2º trimestre 2023,Força de trabalho,458
Teresina (PI),2º trimestre 2023,Força de trabalho - ocupada,421
Teresina (PI),2º trimestre 2023,Força de trabalho - desocupada,37
Teresina (PI),2º trimestre 2023,Fora da força de trabalho,261
Teresina (PI),3º trimestre 2023,Força de trabalho,450
Teresina (PI),3º trimestre 2023,Força de trabalho - ocupada,418
Teresina (PI),3º trimestre 2023,Força de trabalho - desocupada,32
Teresina (PI),3º trimestre 2023,Fora da força de trabalho,274
Teresina (PI),4º trimestre 2023,Força de trabalho,439
Teresina (PI),4º trimestre 2023,Força de trabalho - ocupada,407
Teresina (PI),4º trimestre 2023,Força de trabalho - desocupada,32
Teresina (PI),4º trimestre 2023,Fora da força de trabalho,290
Teresina (PI),1º trimestre 2024,Força de trabalho,450
Teresina (PI),1º trimestre 2024,Força de trabalho - ocupada,417
Teresina (PI),1º trimestre 2024,Força de trabalho - desocupada,33
Teresina (PI),1º trimestre 2024,Fora da força de trabalho,274
Teresina (PI),2º trimestre 2024,Força de trabalho,445
Teresina (PI),2º trimestre 2024,Força de trabalho - ocupada,415
Teresina (PI),2º trimestre 2024,Força de trabalho - desocupada,30
Teresina (PI),2º trimestre 2024,Fora da força de trabalho,269
Teresina (PI),3º trimestre 2024,Força de trabalho,443
Teresina (PI),3º trimestre 2024,Força de trabalho - ocupada,415
Teresina (PI),3º trimestre 2024,Força de trabalho - desocupada,28
Teresina (PI),3º trimestre 2024,Fora da força de trabalho,274
Teresina (PI),4º trimestre 2024,Força de trabalho,436
Teresina (PI),4º trimestre 2024,Força de trabalho - ocupada,414
Teresina (PI),4º trimestre 2024,Força de trabalho - desocupada,22
Teresina (PI),4º trimestre 2024,Fora da força de trabalho,277
Fortaleza (CE),1º trimestre 2012,Força de trabalho,1264
Fortaleza (CE),1º trimestre 2012,Força de trabalho - ocupada,1166
Fortaleza (CE),1º trimestre 2012,Força de trabalho - desocupada,97
Fortaleza (CE),1º trimestre 2012,Fora da força de trabalho,757
Fortaleza (CE),2º trimestre 2012,Força de trabalho,1292
Fortaleza (CE),2º trimestre 2012,Força de trabalho - ocupada,1184
Fortaleza (CE),2º trimestre 2012,Força de trabalho - desocupada,107
Fortaleza (CE),2º trimestre 2012,Fora da força de trabalho,721
Fortaleza (CE),3º trimestre 2012,Força de trabalho,1265
Fortaleza (CE),3º trimestre 2012,Força de trabalho - ocupada,1146
Fortaleza (CE),3º trimestre 2012,Força de trabalho - desocupada,119
Fortaleza (CE),3º trimestre 2012,Fora da força de trabalho,745
Fortaleza (CE),4º trimestre 2012,Força de trabalho,1288
Fortaleza (CE),4º trimestre 2012,Força de trabalho - ocupada,1183
Fortaleza (CE),4º trimestre 2012,Força de trabalho - desocupada,104
Fortaleza (CE),4º trimestre 2012,Fora da força de trabalho,736
Fortaleza (CE),1º trimestre 2013,Força de trabalho,1269
Fortaleza (CE),1º trimestre 2013,Força de trabalho - ocupada,1177
Fortaleza (CE),1º trimestre 2013,Força de trabalho - desocupada,92
Fortaleza (CE),1º trimestre 2013,Fora da força de trabalho,764
Fortaleza (CE),2º trimestre 2013,Força de trabalho,1296
Fortaleza (CE),2º trimestre 2013,Força de trabalho - ocupada,1200
Fortaleza (CE),2º trimestre 2013,Força de trabalho - desocupada,96
Fortaleza (CE),2º trimestre 2013,Fora da força de trabalho,738
Fortaleza (CE),3º trimestre 2013,Força de trabalho,1302
Fortaleza (CE),3º trimestre 2013,Força de trabalho - ocupada,1202
Fortaleza (CE),3º trimestre 2013,Força de trabalho - desocupada,99
Fortaleza (CE),3º trimestre 2013,Fora da força de trabalho,751
Fortaleza (CE),4º trimestre 2013,Força de trabalho,1297
Fortaleza (CE),4º trimestre 2013,Força de trabalho - ocupada,1204
Fortaleza (CE),4º trimestre 2013,Força de trabalho - desocupada,93
Fortaleza (CE),4º trimestre 2013,Fora da força de trabalho,779
Fortaleza (CE),1º trimestre 2014,Força de trabalho,1291
Fortaleza (CE),1º trimestre 2014,Força de trabalho - ocupada,1186
Fortaleza (CE),1º trimestre 2014,Força de trabalho - desocupada,105
Fortaleza (CE),1º trimestre 2014,Fora da força de trabalho,778
Fortaleza (CE),2º trimestre 2014,Força de trabalho,1311
Fortaleza (CE),2º trimestre 2014,Força de trabalho - ocupada,1211
